Tag Code,Report Season,Location
775IZ,2020,El Rosario
AAAB310,2020,El Rosario
AAAE280,2020,Cerro Pelon
AAAE401,2020,El Rosario
AAAE620,2020,El Rosario
AAAM653,2020,El Rosario
AAAN163,2020,El Rosario
AAAR048,2020,El Rosario
AAAW641,2020,El Rosario
AAAY017,2020,Cerro Pelon
AABA649,2020,El Rosario
AABB388,2020,El Rosario
AABB895,2020,El Rosario
AABC305,2020,El Rosario
AACH693,2020,Cerro Pelon
AACM749,2020,El Rosario
AACM779,2020,El Rosario
AACS031,2020,El Rosario
AACS078,2020,El Rosario
AACW123,2020,El Rosario
AAEC730,2020,El Rosario
AAEC839,2020,Sierra Chincua
AAEC974,2020,El Rosario
AAEG420,2020,El Rosario
AAEJ264,2020,El Rosario
AAEJ591,2020,El Rosario
AAEN732,2020,El Rosario
AAER417,2020,Cerro Pelon
AAES793,2020,El Rosario
AAET621,2020,El Rosario
AAEX093,2020,El Rosario
AAEY458,2020,Cerro Pelon
AAGC443,2020,El Rosario
AAHC186,2020,El Rosario
AAHG764,2020,El Rosario
AAHX021,2020,El Rosario
AAJE556,2020,El Rosario
AAJW332,2020,El Rosario
AALC701,2020,El Rosario
AALC720,2020,El Rosario
AALE265,2020,El Rosario
AALL557,2020,El Rosario
AALP369,2020,El Rosario
AALR194,2020,El Rosario
AALR640,2020,El Rosario
AALS122,2020,El Rosario
AALS199,2020,El Rosario
AALS247,2020,Cerro Pelon
AAMA124,2020,El Rosario
AAMA448,2020,El Rosario
AAMC699,2020,El Rosario
AAME892,2020,El Rosario
AAMH018,2020,Cerro Pelon
AAMH665,2020,El Rosario
AAMH973,2020,El Rosario
AAML280,2020,Cerro Pelon
AAML530,2020,El Rosario
AAML733,2020,El Rosario
AAMM783,2020,El Rosario
AAMM859,2020,El Rosario
AAMM976,2020,El Rosario
AAMN253,2020,Cerro Pelon
AAMR520,2020,El Rosario
AAMS018,2020,El Rosario
AAMZ536,2020,Cerro Pelon
AAMZ679,2020,El Rosario
AANJ384,2020,El Rosario
AANJ822,2020,El Rosario
AANL064,2020,El Rosario
AANL123,2020,El Rosario
AANL560,2020,El Rosario
AANN755,2020,El Rosario
AANP410,2020,El Rosario
AANR503,2020,El Rosario
AANS493,2020,Sierra Chincua
AANT088,2020,El Rosario
AANT170,2020,Cerro Pelon
AANT627,2020,El Rosario
AANU242,2020,El Rosario
AAPB064,2020,El Rosario
AAPB963,2020,El Rosario
AAPC020,2020,El Rosario
AAPC269,2020,Cerro Pelon
AAPC273,2020,El Rosario
AAPC617,2020,El Rosario
AAPC792,2020,El Rosario
AAPG390,2020,El Rosario
AAPG564,2020,El Rosario
AAPH054,2020,El Rosario
AAPH358,2020,El Rosario
AAPJ436,2020,El Rosario
AAPR413,2020,El Rosario
AARG495,2020,El Rosario
AASG454,2020,El Rosario
AASH069,2020,El Rosario
AASM740,2020,El Rosario
AASP160,2020,El Rosario
AAST686,2020,Cerro Pelon
AASZ020,2020,El Rosario
AATA073,2020,El Rosario
AATB132,2020,El Rosario
AATN059,2020,El Rosario
AATP258,2020,El Rosario
AATT524,2020,Cerro Pelon
AAUA866,2020,El Rosario
AAUB464,2020,Sierra Chincua
AAUB467,2020,El Rosario
AAUG987,2020,El Rosario
AAUH059,2020,El Rosario
AAUL558,2020,Sierra Chincua
AAUX850,2020,El Rosario
AAWL807,2020,El Rosario
AAWU032,2020,El Rosario
AAWU735,2020,El Rosario
AAWU977,2020,El Rosario
AAWZ375,2020,El Rosario
AAWZ941,2020,El Rosario
AAXC112,2020,El Rosario
AAXG788,2020,El Rosario
AAXG956,2020,El Rosario
AAXH367,2020,El Rosario
AAXH701,2020,El Rosario
AAXH725,2020,El Rosario
AAXN206,2020,El Rosario
AAXP183,2020,El Rosario
AAXX729,2020,El Rosario
AAXX735,2020,Cerro Pelon
AAXY744,2020,El Rosario
AAYB862,2020,El Rosario
AAYB925,2020,El Rosario
AAYC719,2020,El Rosario
