TAG,DATE,CITY,STATE/PROV,ZIP/POST,COUNTRY,LAT,LONG,FIRST,NOTES
XAT710,8/1/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,KHRIS,feeding on 'gay feather' on the coast!
XCN101,8/8/2017,KETTERING,OH,45409,USA,39.724144,-84.183354,MARGARET,Son and his best friend found near nature reserve
XUC556,8/9/2017,WYOMING,MI,49509,USA,42.88386,-85.70616,PHIL,
WPU203,8/11/2017,EAST LANSING,MI,48824,USA,42.653979,-84.492032,OREN,"Children's garden MSU. Have good photos, can share"
XEL625,8/12/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,PUM,"Found at nature center, peninsula state park"
XBJ177,8/14/2017,WHITEHALL,PA,18052,USA,40.658588,-75.491844,DREW,It's feeding on a butterfly bush in my backyard
XAT723,8/14/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,LAURA,Found alive on ground @ Charlotte Rhodes Park
XET633,8/14/2017,PRESCOTT,WI,54021,USA,44.749536,-92.794364,FRANCIS,On a plant in my wildflower garden.
XAM225,8/16/2017,TORONTO,ON,M4J1K4,CAN,43.649996,-79.376173,DAVE,
XAT722,8/16/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,CHASE,"In a butterfly garden, looked healthy."
XEL109,8/16/2017,LITTLE CHUTE,WI,54140,USA,44.283758,-88.309465,JUDY,"Feeding on Liatris pycnostachya, took photographs"
XAM224,8/18/2017,PORT DARLINGTON,ON,L1C3K3,CAN,43.889674,-78.663647,BART,Photographed 25 meters from shore of Lake Ontario.
XCW577,8/18/2017,ANKENY,IA,50021,USA,41.724091,-93.60968,RYAN,The monarch was dead on my driveway
XLM251,8/18/2017,LONGMEADOW,MA,1106,USA,42.052405,-72.567774,LEA,Fannie Stebbins Refuge. Bedraggled wing. Photo
XEJ434,8/18/2017,JANESVILLE,WI,53545,USA,42.689826,-89.050644,CHERRIE,
SBJ045,8/19/2017,STRATFORD,CT,6615,USA,41.185034,-73.14015,DONNA,Found at Audubon CT at Stratford Point.
XHB353,8/19/2017,ROCHESTER,NY,14625,USA,43.13424,-77.4996,KIM,Wing found near butterfly bush in suburban yard
XLY705,8/19/2017,OSAGE,IA,50461,USA,43.286734,-92.810092,JERAD,
XLY705,8/19/2017,OSAGE,IA,50461,USA,43.286734,-92.810092,JERAD,"Found at Apple Valley home in Osage, IA"
XAU009,8/19/2017,CAMDEN,ME,4843,USA,44.210169,-69.071581,JADE GALE,Took pic of it outside Camden (ME) Public Library
XMB000,8/19/2017,MINNEAPOLIS,MN,55407,USA,44.940372,-93.252678,KATHERINE,Where did this butterfly start?
XHT775,8/19/2017,SAINT PAUL,MN,55104,USA,44.955483,-93.160531,DAVE,1:30 PM 8/19/17 nectaring on liatrus liguilistica
XER142,8/19/2017,SAINT PAUL,MN,55106,USA,44.957208,-93.052916,ANITRA,In theDayton's Bluff neighborhood. Good health
XAA080,8/20/2017,ANNAPOLIS,NS,G3A2C7,CAN,44.74268,-65.51761,JEAN,Photo taken in the Annapolis Historic Garden
XJS277,8/20/2017,MORGANTOWN,PA,19543,USA,40.167689,-75.88701,ALICE,
WSB685,8/21/2017,OXFORD,MD,21654,USA,38.686228,-76.169503,ERICA,Mid-morning nectaring on cup plant
WSB685,8/21/2017,TRAPPE,MD,21654,USA,38.686228,-76.169503,JIM,
SBJ045,8/21/2017,STRATFORD,CT,6615,USA,41.185034,-73.14015,PATTY,
XHN560,8/21/2017,GRAND RAPIDS,MI,49504,USA,42.986465,-85.721042,CASSANDRA,Near the grounds of John Ball Zoo
XHB355,8/21/2017,ROCHESTER,NY,14526,USA,43.141702,-77.455684,VINCE,found in yard at home
XEL648,8/21/2017,DOOR COUNTY,WI,54212,USA,45.105511,-87.217607,MOLLY,
XEL648,8/21/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,MOLLY,
XET401,8/22/2017,MONTGOMERY,MN,56069,USA,44.436114,-93.587101,AVA,In tall grass/ weeds
XCN054,8/23/2017,XENIA,OH,45385,USA,39.691445,-83.953106,KATHY,My husband found it on our deck on a milkweed.
WSB760,8/23/2017,LANCASTER,PA,17603,USA,40.045868,-76.354179,BREA,In Waystation feeding on butterfly bush.
XNP653,8/24/2017,MISHICOT,WI,54228,USA,44.264424,-87.649973,BRUCE,"Monarch is moving very slow, was unusually cold"
XAT755,8/24/2017,SOUTHWEST HARBOR,ME,4679,USA,44.279865,-68.330071,CHARLES,Saw this one at Charlotte Rhoades Butterfly Garden
XCU809,8/24/2017,PENINSULA POINT,MI,54212,USA,45.105511,-87.217607,JANET,"w/670 other monarchs, T38N, R22W Sect 24"
XAJ699,8/25/2017,TORONTO,ON,M6K0A5,CAN,43.649996,-79.376173,ERIN,Outside of the Argonauts Rowing Club.
XBJ646,8/25/2017,CAPE MAY COURT HOUSE,NJ,8210,USA,39.11928,-74.82582,JERRY,"the butterfly was on a customers porch, dead"
WNG093,8/25/2017,LOVELAND,OH,45140,USA,39.267042,-84.292122,JENNI,This butterfly was feeding on our butterfly weed!
XBJ800,8/25/2017,TULLYTOWN,PA,19054,USA,40.16834,-74.822181,DAVID,took a photo of the butterfly. Look very well fed
XHA000,8/25/2017,BERLIN,CT,6037,USA,41.60778,-72.7701,ANDY,Seen in a field at Pistol Creek walking trails
XCS827,8/25/2017,WASHINGTON,MI,48094,USA,42.73446,-82.99812,BOB,@Meijer on a buddleia davidii
XEL703,8/25/2017,FISH CREEK,WI,54212,USA,45.105511,-87.217607,JJ,Monarch waystation in Peninsula State Park
XPC162,8/26/2017,UPPER PROVIDENCE,PA,19460,USA,40.111368,-75.546198,,
XLM343,8/26/2017,LONGMEADOW,MA,1106,USA,42.052405,-72.567774,GAYLE,Photographed resting butterfly clear image of tag
XCR931,8/26/2017,GARDEN CITY,MI,48135,USA,42.324302,-83.338607,JASON & AZIZ,I took a lot of pictures. They were on my Zinnias.
XJZ283,8/26/2017,CLINTON TOWNSHIP,MI,48038,USA,42.599508,-82.953544,VINCE,In garden feeding on flowers for 5 hours approx.
XAP810,8/27/2017,CAMBRIDGE,ON,N1R3V2,CAN,43.363582,-80.312776,B,Seen nectaring in backyard on giant yellow hyssop
XBS848,8/27/2017,MONKTON,MD,21111,USA,39.56994,-76.59288,STEVE,Just found wings. killed by cicada killer bee.
XHB027,8/27/2017,PENNSBURG,PA,18073,USA,40.3926,-75.4824,PHYLLIS,Found on a butterfly bush.
XCR885,8/27/2017,GARDEN CITY,MI,48135,USA,42.324302,-83.338607,SHARON,The monarch was perched on our butterfly bush.
XCS656,8/27/2017,MILFORD,MI,48381,USA,42.574828,-83.594968,JENIFER,healthy female on my buddleia bush
XLB836,8/27/2017,MADISON,WI,53704,USA,43.117217,-89.335082,SANDY,It was on zinnias in my backyard
XLE925,8/27/2017,STEVENS POINT,WI,54481,USA,44.54298,-89.56446,BECKY,It was found in my backyard feeding on liatris
XPC209,8/27/2017,EDINA,MN,55424,USA,44.902538,-93.339411,JEREMY,Found this monarch in my mostly native garden!
XMX454,8/28/2017,GRANDVILLE,MI,49418,USA,42.896187,-85.756061,JIM,The monarch was on a Mexican Sunflower
XRP869,8/29/2017,COLUMBUS,OH,43214,USA,40.053773,-83.025973,SHAWN,In our backyard. Laying in the grass
XGZ518,8/30/2017,INVERHURON,ON,NOG2T0,CAN,43.940961,-79.43899,KURT,
XMT628,8/30/2017,PENSACOLA,FL,32514,USA,30.524613,-87.236038,SARA,I snapped a photo so as not to disturb it's journe
