Date,Town,State/Province,Latitude,Longitude,Number
7/31/2021,Basking Ridge,NJ,40.7,-74.5,1
7/31/2021,Brown City,MI,43.2,-83.1,10
7/31/2021,Hardwick,MA,42.3,-72.2,1
7/31/2021,Hilton Head Island,SC,32.2,-80.8,2
7/31/2021,Montgomery Village,MD,39.2,-77.2,2
7/31/2021,Stearns,KY,36.8,-84.6,1
7/31/2021,Waco,TX,31.5,-97.2,10
7/30/2021,Austin,TX,30.3,-97.7,1
7/30/2021,Austin,TX,30.4,-97.8,1
7/30/2021,Brigantine,NJ,39.4,-74.4,1
7/30/2021,Charlottesville,VA,38.1,-78.5,1
7/30/2021,East Thetford,VT,43.8,-72.2,1
7/30/2021,Fernandina Beach,FL,30.6,-81.4,1
7/30/2021,Milford,CT,41.2,-73.1,1
7/30/2021,Millis,MA,42.2,-71.4,2
7/30/2021,Ortonville,MI,42.9,-83.4,3
7/30/2021,Ottawa,ON,45.4,-75.7,1
7/30/2021,Plainview,NY,40.8,-73.5,3
7/30/2021,Saint Louis,MO,38.6,-90.2,1
7/30/2021,Salt Lake City,UT,40.7,-111.8,1
7/30/2021,Tucson,AZ,32.4,-111,1
7/30/2021,Tulsa,OK,36.1,-96,1
7/30/2021,Virginia Beach,VA,36.9,-76.1,1
7/30/2021,Waukegan,IL,42.4,-87.8,1
7/30/2021,Wolfeboro,NH,43.7,-71.2,1
7/29/2021,Alexandria,VA,38.8,-77.1,1
7/29/2021,Davenport,WA,47.6,-118.1,1
7/29/2021,Dodge City,KS,37.8,-100,1
7/29/2021,Easton,PA,40.7,-75.2,1
7/29/2021,Greenwich,CT,41,-73.7,1
7/29/2021,Gretna,LA,29.9,-90.1,1
7/29/2021,Madison,GA,33.6,-83.5,1
7/29/2021,Oakland,CA,37.8,-122.2,1
7/29/2021,Oklahoma City,OK,35.5,-97.6,1
7/29/2021,Tulsa,OK,36.1,-95.9,1
7/29/2021,Utica,MI,42.7,-83.1,1
7/29/2021,Winchester,VA,39.2,-78.2,1
7/28/2021,Ashland,OR,42.2,-122.7,1
7/28/2021,Attleboro,MA,42,-71.3,1
7/28/2021,Carbondale,IL,37.7,-89.2,1
7/28/2021,Carlisle,KY,38.3,-84,1
7/28/2021,Clermont,KY,37.9,-85.7,1
7/28/2021,Dearborn,MI,42.3,-83.2,1
7/28/2021,Delavan,WI,42.6,-88.6,1
7/28/2021,Delmar,DE,38.5,-75.5,1
7/28/2021,Forest Hill,MD,39.6,-76.4,1
7/28/2021,Fredericksburg,VA,38.3,-77.5,1
7/28/2021,Grand Blanc,MI,42.9,-83.6,2
7/28/2021,Greenwood,LA,32.4,-94,2
7/28/2021,Guelph/Eramosa,ON,43.6,-80.1,1
7/28/2021,Logan,UT,41.7,-111.8,1
7/28/2021,Merrimack,NH,42.9,-71.5,1
7/28/2021,Naugatuck,CT,41.5,-73.1,1
7/28/2021,Oakland,CA,37.8,-122.3,1
7/28/2021,Pascoag,RI,42,-71.7,1
7/28/2021,Portland,OR,45.6,-122.6,1
7/28/2021,Portland,OR,45.5,-122.6,1
7/28/2021,River Rouge,MI,42.3,-83.1,1
7/28/2021,Schuylkill Haven,PA,40.6,-76.2,0
7/27/2021,Austin,TX,30.2,-97.8,1
7/27/2021,Belmont,MI,43.1,-85.6,1
7/27/2021,Bowie,MD,39,-76.7,1
7/27/2021,Buchanan,VA,37.6,-79.8,1
7/27/2021,Collingswood,NJ,39.9,-75,1
7/27/2021,Cottage Grove,WI,43,-89.2,1
7/27/2021,Dundee,MI,42,-83.7,3
7/27/2021,Edinburg,PA,41,-80.4,1
7/27/2021,Frederick,MD,39.4,-77.4,1
7/27/2021,Glassboro,NJ,39.7,-75.1,1
7/27/2021,Littleton,CO,39.5,-105.2,1
7/27/2021,Littleton,CO,39.5,-105.2,1
7/27/2021,Mahanoy City,PA,40.8,-76.2,1
7/27/2021,Oakton,VA,38.9,-77.3,1
7/27/2021,Ottawa,ON,45.4,-75.7,1
7/27/2021,Prattville,AL,32.6,-86.5,1
7/27/2021,Providence,RI,41.8,-71.4,1
7/27/2021,Reading,MA,42.5,-71.1,2
7/27/2021,Salaberry-de-Valleyfield,QC,45.3,-74.1,1
7/27/2021,Spotsylvania,VA,38.2,-77.6,2
7/27/2021,State College,PA,40.8,-77.9,2
7/27/2021,Tulsa,OK,36,-96.1,1
7/27/2021,Tyler,TX,32.3,-95.3,1
7/27/2021,Viroqua,WI,43.6,-90.9,1
7/27/2021,Wichita,KS,37.6,-97.3,1
7/26/2021,Annapolis,NS,44.9,-65.1,1
7/26/2021,Blanco,TX,30,-98.3,1
7/26/2021,Brooklyn,NY,40.7,-74,1
7/26/2021,Clemmons,NC,36,-80.4,1
7/26/2021,Grand Rapids,MI,42.9,-85.6,1
7/26/2021,Gunpowder,MD,39.4,-76.3,1
7/26/2021,Lake City,PA,42,-80.3,1
7/26/2021,Mckinney,TX,33.2,-96.7,1
7/26/2021,Moab,UT,38.6,-109.5,1
7/26/2021,New Orleans,LA,30,-90.1,3
7/26/2021,Nogales,AZ,31.5,-111.2,1
7/26/2021,Pense,SK,50.4,-105,1
7/26/2021,Pleasantville,NY,41.1,-73.8,2
7/26/2021,Randolph,NH,44.4,-71.3,1
7/26/2021,Santa Fe,NM,35.6,-106.1,2
7/26/2021,Schenectady,NY,42.8,-73.9,3
7/26/2021,Warwick,RI,41.7,-71.4,1
7/26/2021,Waterloo,QC,45.4,-72.5,1
7/25/2021,Ames,IA,42,-93.5,1
7/25/2021,Bethesda,MD,39,-77.1,1
7/25/2021,Birmingham,MI,42.5,-83.2,1
7/25/2021,Champion,PA,40.1,-79.4,1
7/25/2021,Chicago,IL,41.9,-87.6,20
7/25/2021,Chicago,IL,41.9,-87.6,20
7/25/2021,Cleveland,OH,41.4,-81.6,1
7/25/2021,Cleveland,OH,41.5,-81.7,1
7/25/2021,Columbus,OH,40,-82.9,2
7/25/2021,Edgewood,NM,35.1,-106.2,1
7/25/2021,Frederick,MD,39.4,-77.5,1
7/25/2021,Frederick,MD,39.5,-77.4,2
7/25/2021,Germantown,MD,39.2,-77.3,1
7/25/2021,Indianapolis,IN,39.7,-86.2,1
7/25/2021,Land O Lakes,WI,46.1,-89.3,2
7/25/2021,Lincoln,NB,45.9,-66.5,7
7/25/2021,Los Alamos,NM,35.9,-106.3,1
7/25/2021,Lubbock,TX,33.5,-101.9,1
7/25/2021,Mansfield,MA,42,-71.3,1
7/25/2021,Marietta,OH,39.4,-81.5,1
7/25/2021,Midlothian,VA,37.4,-77.7,1
7/25/2021,Mount Laurel,NJ,39.9,-74.9,1
