,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
690,887156075,1998-02-10,Monarch Egg (FIRST sighted),1,28.529,-96.679,0,"We gathered 21 Monarch eggs during week of December 19, 1997 from A. curassavica in back yard.  Have collected 20 Monarch eggs during January 1998, same back yard.  Netted and tagged two females during January, both were laying eggs.  One visited overseveral days.  Have gathered 8 Monarch eggs and 1 infant larva  in February thru February 9, 1998.  Have taken to school and weare raising.  Released two tagged Monarchs in last 4 days fromthese eggs.      Harlen E. Aschen      Port Lavaca, TX 77979      Victoria Christian School      heaa@tisd.net              Victoria, TX 77901",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
693,887284032,1998-02-12,Monarch Egg (FIRST sighted),1,28.529,-96.679,0,"Have had a few Monarchs overwintering in this area (mid-coast ofTexas between Corpus and Galveston).  Have observed and taggedMonarchs in December and January.  Have collected almost 50 eggsand larvae from Dec 15 thru Feb 10, 98.            Harlen",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
697,887408443,1998-02-13,Monarch Egg (FIRST sighted),1,28.807,-96.979,0,"Three new Monarch eggs today.  On ""backup"" Ascleplas curassaivca in backyard ... have just cut back the main plants.  A pattern is developing ... about 3 eggs then skip two days then 3 eggs, etc. The 3 eggs from earlier in week have hatched also have 3 chrysalids and 5 more adult larva almost ready from previous hatches.  These are all local Monarchs that seem to have over-wintered.  Temp today was 74, mostly sunny, light wind from N has switched to E.  Almost out of leaves at school!     Harlen",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
698,887552426,1998-01-01,Monarch Egg (FIRST sighted),1,27.98,-82.781,0,"We have milkweed, lantana and other butterfly friendly plants in our yard. Although we have seen eggs and caterpillars in the fallas well, about February seventh the milkweed had 30+ caterpillars on them. Now they are gone.",Pinellas county jewish day school,-999999.999,-999999.999,733,-999999.999,1,FIRST Monarch Egg,1
708,888551397,1998-02-26,Monarch Egg (FIRST sighted),1,28.807,-96.979,0,"Mid-Coast of TX: More Monarchs (local over-winterers) seen flying within a mile of home.  Four new larvae and 3 new eggs.  Leaving these on the A. curassavica plants in backyard -- running out of A.c. leaves at school -- have started 28 new cuttings!  One of these larvae (10 mm long) crawled from leaves at base of plant 60 cm up to the leaves at the tip of a stem.  A Monarch (from backyard egg) emerged at school, 4th grade has tagged, and will release tomorrow.  Five more in chrysalids ready to emerge.  Harlen",Victoria christian school  k-9,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
716,889049093,1998-02-01,Monarch Egg (FIRST sighted),1,30.449,-91.188,0,"Very mild winter in Baton Rouge, monarchs have been laying eggs all winter. In fact, the milkweed didn't even die down.   Caterpillars have had fresh food supply, and they're everywhere. Their growth is slower in the winter, but they're still developing. Two colleagues I'm in contact with have seen fresh monarchs, so they know they're still reproducing  successfully. Migrants will be very clear when they do come from Mexico, they're so tattered it's easy to distinguish them.",-999999.999,-999999.999,-999999.999,9710973,-999999.999,1,FIRST Monarch Egg,1
719,889317555,1998-03-07,Monarch Egg (FIRST sighted),1,28.807,-96.979,0,Mid-Coast of Texas #2:  Just harvested 41 new Monarch eggs from the backyard Asclepias curassavica (milkweed) plants.  Had checked the plants Thursday for eggs and there were none.  This is a record for our plants (Dec: 21 eggs in 2 days). We watched female #526 lay most (all?) of these eggs this afternoon.  The fourth grade will need to look for a new leaf supply! Harlen,Victoria christian school  k-9,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
726,889916345,1998-03-14,Monarch Egg (FIRST sighted),1,28.807,-96.979,0,"Mid-Coast of Texas: Went out between rain showers and the overwintering Monarchs have layed an additional 36 eggs this week ... a total of 77 eggs between March 6th and 14th on six plants.  We are out of ""feeder"" milkweed leaves at school, so these eggs will stay on the plants.  Also found a few larvae from eggs I missed on the March 7th count.  Harlen",Victoria christian school  k-9,7.0,-999999.999,9704928,-999999.999,1,FIRST Monarch Egg,1
762,891120920,1998-03-27,Monarch Egg (FIRST sighted),1,33.285,-91.02,0,-999999.999,Not applicable,-999999.999,-999999.999,868,-999999.999,1,FIRST Monarch Egg,1
784,891613801,1998-03-31,Monarch Egg (FIRST sighted),1,33.58,-91.792,0,"A rather faded and tattered female monarch was observed laying eggs on the A. curassavica I had planted a couple of weeks earlier. I captured her and put her in a screened enclosure over another A. curassavica plant. She has continued to lay eggs, about 20 so far.",W.c. whaley,1.0,-999999.999,9702734,-999999.999,1,FIRST Monarch Egg,1
