,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
48263,1343918156,2012-08-02,Monarch Egg Sighted,4,39.091,-76.624,0,Eggs on common mw in open field.,Arlington echo outdoor education center,-999999.999,-999999.999,9954266,4.0,0,Monarch Egg Sighted,0
48269,1344034477,2012-08-02,Monarch Egg Sighted,1,42.647,-74.575,0,"Collected 2 eggs today, feel as if I&#39;m off to a slow start.",-999999.999,-999999.999,-999999.999,9940596,-999999.999,1,Monarch Egg Sighted,0
48286,1344379065,2012-08-07,Monarch Egg Sighted,2,42.647,-74.575,0,2 eggs collected.,-999999.999,-999999.999,-999999.999,9940596,2.0,0,Monarch Egg Sighted,0
48294,1344447589,2012-08-05,Monarch Egg Sighted,1,32.774,-91.709,0, female has started laying eggs :) found about a dozen so far. ,-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles/1344447589.jpg,9949176,-999999.999,1,Monarch Egg Sighted,0
48298,1344457901,2012-08-08,Monarch Egg Sighted,1,42.647,-74.575,0,2 eggs collected.,-999999.999,-999999.999,-999999.999,9940596,-999999.999,1,Monarch Egg Sighted,0
48317,1344788424,2012-08-09,Monarch Egg Sighted,1,44.6,-69.2,0,"First egg deposited late afternoon 4 JULY 2012, but continue to see occasional eggs and many larvae through today.  Not so many adults ovipositing as a week ago.  Common milkweed plants all now 2 weeks past blossoms and leaves tough.  A few new plants still emerging mostly at periphery of patch and for past week we note eggs and larvae more commonly on these young plants compared to the plants that mature early and bloomed.",Unity college,-999999.999,-999999.999,9909773,-999999.999,1,Monarch Egg Sighted,0
48326,1344876769,2012-07-12,Monarch Egg Sighted,1,38.493,-107.073,0,"I observed this egg on milkweed at the side of the road and in the adjacent field on hwy 135 between Almont and Gunnison, Colorado. I also noted two eggs on the underside of another leaf. I believe it may be Ascelepias speciosa (showy milkweed). It is a beautiful plant and there were over fifty plants at that particular location. In July the plants were in bloom. By August 7th, the plants had large, green seedpods.I didn't see any adult monarchs or caterpillars around/on the plants. ",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles/1344876769.jpg,9951810,-999999.999,1,Monarch Egg Sighted,0
48413,1345227647,2012-08-12,Monarch Egg Sighted,1,35.98,-95.808,0,Spotted a Monarch male and female on blooming A incarnata in the yard.  Found 37 eggs.  Raising 34 larvae.  Butterflies did not stick around.,-999999.999,-999999.999,-999999.999,9928891,-999999.999,1,Monarch Egg Sighted,0
48422,1345229328,2012-08-16,Monarch Egg Sighted,1,43.168,-77.603,0,I have approx 15 eggs waiting to hatch and will hunt for more today. ,-999999.999,-999999.999,-999999.999,9960289,-999999.999,1,Monarch Egg Sighted,0
48440,1345233126,2012-08-16,Monarch Egg Sighted,1,43.28,-93.616,0,I am not finding very many eggs and I usually have collected 100 or more by now.  I have a registered butterfly garden and I have several adults using my garden daily.  I&#39;ve seen adults here every day since spring.  I&#39;m not sure how the midwest drought is affecting the migration.  Many of the blazing star and compass plants are nearly done blooming already.,-999999.999,-999999.999,-999999.999,9956425,-999999.999,1,Monarch Egg Sighted,0
48441,1345233192,2012-08-16,Monarch Egg Sighted,1,43.28,-93.616,0,I am not finding very many eggs and I usually have collected 100 or more by now.  I have a registered butterfly garden and I have several adults using my garden daily.  I&#39;ve seen adults here every day since spring.  I&#39;m not sure how the midwest drought is affecting the migration.  Many of the blazing star and compass plants are nearly done blooming already.,-999999.999,-999999.999,-999999.999,9956425,-999999.999,1,Monarch Egg Sighted,0
48451,1345234516,2012-08-16,Monarch Egg Sighted,1,32.799,-80.0,0,Lots of eggs sighted on flowering milkweed plants in our school garden,Porter gaud lower school,4.0,-999999.999,9912494,-999999.999,1,Monarch Egg Sighted,0
48453,1345234771,2012-08-16,Monarch Egg Sighted,1,40.994,-73.879,0,A female deposited at least 7 eggs.,Hastings nursery school,-999999.999,-999999.999,9947188,-999999.999,1,Monarch Egg Sighted,0
48458,1345236705,2012-08-17,Monarch Egg Sighted,20,33.68,-117.907,0,worried about wasps!  have MANY eggs!,-999999.999,-999999.999,-999999.999,9960494,20.0,0,Monarch Egg Sighted,0
48477,1345245862,2012-08-14,Monarch Egg Sighted,1,38.027,-98.087,0,"Saw several Monarchs on our Asclepias and later, after they had left, found 6 eggs to share with elementary school children. Brought the eggs inside to raise to avoid the tachinid fly getting the caterpillar. ",-999999.999,-999999.999,-999999.999,9939653,-999999.999,1,Monarch Egg Sighted,0
48503,1345256262,2012-08-17,Monarch Egg Sighted,1,44.03,-69.489,0,Loads of eggs.  More cats and adults than in the past few years.,Retired,-999999.999,-999999.999,977210,-999999.999,1,Monarch Egg Sighted,0
48513,1345263209,2012-08-17,Monarch Egg Sighted,3,33.007,-94.378,0,About two weeks ago I sighted a female Monarch butterfly.  And over the next two weeks saw two different ones.  Today on several Asclepias currasavica (and I do have several native species) I spotted 2 eggs and two caterpillars.,-999999.999,-999999.999,-999999.999,9952069,3.0,0,Monarch Egg Sighted,0
48525,1345299381,2012-08-15,Monarch Egg Sighted,4,49.884,-97.141,0,"Hello and I would like to say that I have found at least 10-20 eggs in July here at Lagimodiere Park in Saint-Boniface where I live in Winnipeg, Manitoba. I brought them all in my appartment, where I  have observed them all hatch and have watch all these caterpillars eating, going into Chrysalides under leaves. Even in my frontyard, I have observed one chrysalide hiding under parsley leaves for the longest time, at least two weeks until a rabbit came along and ate it,I was so sad! As of August 2nd I would think that this is maybe the third or fourth generation already. I have had at least eight caterpillar, one has died. Three butterflies born this week and gone. But it&#39;s been rather cold here in Manitoba at night averaging 9-13 celcius, I don&#39;t know if theses littles shivering butterflies are surviving! But today it has warmed up and tonight&#39;s low will be 19 and dipping down to 11 overnight again with cloudy periods tommorrow... I have two -five day old chrysalides left and one fat caterpillars still eating tonight he probably will go up in this milkweed plant/hide tommorrow, be in a J form on sunday. I so enjoy watching theses littles guys, this morning I brought a chrysalide to my church for some people to see, people always think this is a piece of jewellery or something - so unaware and simply so very surprised and amazed when I tell them what it is!... I have not seen any Monarchs in my area for the last two weeks except for the one&#39;s that I&#39;ve been letting go myself.  Unless I find some more eggs this month, four are left - one butterfly took to the sky this morning! So sorry that I have not had anytime to write to you sooner...I will continue to fallow with you and write if I can and I am looking forward ",Norwood french immersion inc.,-999999.999,-999999.999,8822,4.0,0,Monarch Egg Sighted,0
48526,1345299462,2012-08-17,Monarch Egg Sighted,1,46.001,-94.341,0,I found 1 egg yesterday. I haven&#39;t seen any eggs for 2 weeks.I found 2 larvas 3 days ago. they are now hanging. not in chrysalis yet.I saw 1 adult yesterday and about 6 all week.My adult population has been very low all summer.  I believe my problem has been tachinid flies. About 50% of the larva I try to raise die because fly larva.,-999999.999,-999999.999,-999999.999,9944420,-999999.999,1,Monarch Egg Sighted,0
48531,1345301453,2012-08-17,Monarch Egg Sighted,1,41.686,-72.406,0,"I have many milkweed plants in my flower garden.  The monarchs are still laying eggs there.  Besides seeing three eggs, I found two larva that recently emerged.  They were still clear with small black heads.  Today we can see the stripes.  I have brought more than 20 larva into my terrariums this summer.",Rham high school,9.0,https://journeynorth.org/jnorth/images/userfiles/1345301453.jpg,4350,-999999.999,1,Monarch Egg Sighted,0
48557,1345325594,2012-08-18,Monarch Egg Sighted,3,42.219,-83.352,0,The monarch layed her eggs on the new growth of milkweed instead of the larger plants.,Erving elementary school champions,-999999.999,-999999.999,9936893,3.0,0,Monarch Egg Sighted,0
48559,1345326659,2012-08-18,Monarch Egg Sighted,1,40.178,-76.302,0,At least two dozen eggs at various sites in my gardens. Lots of monarch activity today. Saw 3 females checking out the milkweed. ,-999999.999,-999999.999,-999999.999,9948232,-999999.999,1,Monarch Egg Sighted,0
48566,1345334670,2012-08-18,Monarch Egg Sighted,8,38.926,-77.398,0,Found eggs in the milkweed patch in my backyard.  Two hatched today.,Mcnair es,2.0,-999999.999,9958852,8.0,0,Monarch Egg Sighted,0
48577,1345355273,2012-08-16,Monarch Egg Sighted,1,49.884,-97.141,0,Going to rear the caterpillars. ,-999999.999,1.0,-999999.999,9960522,-999999.999,1,Monarch Egg Sighted,0
48598,1345387982,2012-08-19,Monarch Egg Sighted,1,41.612,-86.138,0,The eggs seem a little late this year. I have found 4 eggs and this time last year I had about 30. This was enough for my students to each have one to observe and care for.,Twin branch elementary school,2.0,-999999.999,9960065,-999999.999,1,Monarch Egg Sighted,0
48606,1345393378,2012-08-19,Monarch Egg Sighted,1,43.75,-72.37,0,"To my surprise, I found a monarch egg today. I'm watching carefully to see how late the monarchs breed at this latitude. Now that it's late August the milkweed is old and ragged, and temperatures are dropping. I'll keep this one outside and see how long it takes to become an adult. I'd guess at least 5 weeks, which will be September 23rd.",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles/1345393378.jpg,9937188,-999999.999,1,Monarch Egg Sighted,0
48622,1345413226,2012-08-19,Monarch Egg Sighted,1,29.757,-95.365,0,Worn Female laying eggs,-999999.999,-999999.999,-999999.999,9946660,-999999.999,1,Monarch Egg Sighted,0
48628,1345417252,2012-08-19,Monarch Egg Sighted,7,40.327,-76.011,0,We found seven eggs laid on a piece of milkweed in our garden.  The milkweed stalk was damaged so we harvested the eggs to raise in our habitat.  ,-999999.999,-999999.999,-999999.999,8843,7.0,0,Monarch Egg Sighted,0
48630,1345420021,2012-08-19,Monarch Egg Sighted,30,29.996,-95.68,0,"Many eggs have been deposited.  Some should ""hatch"" tomorrow morning.  ",-999999.999,-999999.999,-999999.999,9970923,30.0,0,Monarch Egg Sighted,0
48645,1345438843,2012-08-19,Monarch Egg Sighted,7,43.95,-79.833,0,Egg sightings are not as common as they were 2 weeks ago but today there were 7 eggs that I discovered on milkweed in about one hour of looking. Lots of the mature plants have large pods on them at this time.,Palgrave public school,-999999.999,-999999.999,7865,7.0,0,Monarch Egg Sighted,0
48653,1345469885,2012-08-18,Monarch Egg Sighted,1,40.446,-74.442,0,Found 139 eggs &amp; 9 caterpillars in various stages in two locations.  All taken in to be reared.  That&#39;s the most I&#39;ve ever found in one day.    ,-999999.999,-999999.999,-999999.999,9946559,-999999.999,1,Monarch Egg Sighted,0
48665,1345476524,2012-08-19,Monarch Egg Sighted,1,38.928,-94.484,0,There was a small (1-2cm) caterpillar on my ornamental milkweed. I have seen evidence of other caterpillars but not the actuall caterpillar.,Smith-hale middle school,6.0,-999999.999,9902803,-999999.999,1,Monarch Egg Sighted,0
48698,1345510375,2012-08-19,Monarch Egg Sighted,1,40.327,-76.011,0,Observed 4 females and 3 males nectaring in our garden. The females laid several eggs on our milkweed.,-999999.999,-999999.999,-999999.999,8843,-999999.999,1,Monarch Egg Sighted,0
48709,1345552390,2012-08-15,Monarch Egg Sighted,1,38.023,-97.265,0,It appears the butterfly was depositing eggs all over the milkweed in my yard.  ,-999999.999,-999999.999,-999999.999,9951522,-999999.999,1,Monarch Egg Sighted,0
48710,1345553593,2012-08-18,Monarch Egg Sighted,1,43.138,-71.257,0,"Observing 2-5 adult monarchs each day, for the past week (8/18-21).  Also observed eggs, and larva on young milkweed in field that had been cut earlier in the summer. ",Deerfield community school,-999999.999,-999999.999,9948195,-999999.999,1,Monarch Egg Sighted,0
48712,1345556035,2012-08-03,Monarch Egg Sighted,1,36.108,-86.776,0,"I was preparing my classroom for school and looked out the window at the butterfly garden. A female was laying eggs on the milkweed. I went out and got very close to see her deposit several eggs. She continued to lay for a couple of hours. School is underway now (8/17/12) and we have 8 caterpillars growing inside so that we can study them. They are between 3 and 4th instars. The monarch was  the 1st one I had seen since our release of Monarchs at the end of school (5/24/12).  It has been soooo hot that there haven't been any monarchs around, even though the milkweed was abundant and healthy.  I trimmed it back on July 4 and it have come out tender and green again in the tops. ",David lipscomb elementary school,-999999.999,-999999.999,9706168,-999999.999,1,Monarch Egg Sighted,0
48727,1345572971,2012-08-17,Monarch Egg Sighted,1,43.546,-96.727,0,"Here in Sioux Falls, SD we found 9 new eggs on Aug. 17th in our milkweed patch... plants are healthy... and are feeding caterpillars and hatching chrysalis' in our aquarium.  Seeing a few large monarchs in yard when temps warm up.     <p>We had a lull in seeing monarchs and in finding eggs in mid July - Hottest on record, very little precipitation and lots of S wind ... thinking monarchs blew farther north for that time period.   Have had some rains recently and asters and sedums are healthy and starting to bloom, so getting excited for the peak migration within 2 weeks  - tagging sheets are ready !!!   ",-999999.999,-999999.999,-999999.999,9953526,-999999.999,1,Monarch Egg Sighted,0
48735,1345575879,2012-07-30,Monarch Egg Sighted,1,39.424,-77.819,0,Female butterfly observed laying eggs on milkweed.,Shepherdstown elementary,5.0,-999999.999,9949432,1.0,0,Monarch Egg Sighted,0
48741,1345578142,2012-08-21,Monarch Egg Sighted,1,39.172,-76.582,0,"Collected between 50-60 eggs.  Most I found on the side of the road where mowers had just been.  The leaves were shredded, but luckily for the eggs being so small, I saved most of what I found.",Arlington echo outdoor education center,-999999.999,https://journeynorth.org/jnorth/images/userfiles/1345578142.jpg,9954266,-999999.999,1,Monarch Egg Sighted,0
48745,1345587634,2012-08-20,Monarch Egg Sighted,1,39.424,-77.819,0,Female butterfly observed laying eggs.,Shepherdstown elementary,5.0,-999999.999,9949432,-999999.999,1,Monarch Egg Sighted,0
48749,1345591879,2012-08-20,Monarch Egg Sighted,1,26.125,-81.792,0,Several adults and many eggs.  I just collected 13 larva to raise.,-999999.999,-999999.999,-999999.999,9935047,-999999.999,1,Monarch Egg Sighted,0
48751,1345594787,2012-08-21,Monarch Egg Sighted,1,42.375,-85.708,0,Found 2 monarch eggs on 2 different common milkweed plants. ,-999999.999,-999999.999,-999999.999,9904663,-999999.999,1,Monarch Egg Sighted,0
