,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
7887,1030474075,2002-08-28,Monarch Fall Roost,1,45.068,-92.838,0,-999999.999,St. croix valley area learning center,9.0,-999999.999,9907033,-999999.999,1,Monarch Fall Roost,0
7891,1030540328,2002-08-27,Monarch Fall Roost,1,46.121,-96.441,0,"This year I have had a total of 88 Monarchs roost in my yard and have tagged 58 of those.  Last year I had 2950 butterflies roost in my yard up to 8/27/01, and had tagged 550.  The most onany one night this year is 58 versus 900 last year.",-999999.999,-999999.999,-999999.999,9902930,-999999.999,1,Monarch Fall Roost,0
7947,1030833955,2002-08-31,Monarch Fall Roost,1,44.966,-93.084,0,"For the second year in a row, we found monarchs roosting by my auntie's workplace in St. Paul.  Last year we saw about 200 butterflies, but this year we saw about 30 - 40.  It might be the early part of the migration, plus we went during the afternoon.  I'm going to check this evening again to see how many there will be in the grove.  The butterflies all appeared to be new for they were very bightly colored.  I wish I have some tags.  <P><font color=""#FFFFFF"">Migration Highlight</font>",Museum magnet elem. school,4.0,-999999.999,9905440,-999999.999,1,Monarch Fall Roost,0
7974,1031068371,2002-09-02,Monarch Fall Roost,1,43.086,-91.423,0,"We have found the migration to be late also.  We saw our first small group roosting (25) last night, Sept 2nd, and last year we had tagged 950 by now.  There are a lot of larva that have just shown up also.  This is the first we have seen of catapillers in numbers this year.  Could this point to a later migration?  They have stripped all my milkweed seedling.<P><font color=""#FFFFFF"">Migration Highlight</font>",-999999.999,-999999.999,-999999.999,1627,-999999.999,1,Monarch Fall Roost,0
7979,1031074256,2002-09-02,Monarch Fall Roost,1,44.855,-93.775,0,"Yesterday about 6 p.m. while walking 1 mile along the NW side of Lake Waconia I counted 19 monarch butterflies heading south, one-by-one.  About 7:15 close to 100 monarchs in two clusters were on our nextdoor neighbor's mature sugar maple tree.  Clusters up about 8 to 10 feet and on east side of the tree. In the afternoon a cool front arrived and the wind was from the NW.This morning (Tues. Sept. 3) about 9:00 the monarchs were leaving their night roosts.  Clear sky and temp. in low 60s.<P><font color=""#FFFFFF"">Migration Highlight</font>",-999999.999,-999999.999,-999999.999,9701177,-999999.999,1,Monarch Fall Roost,0
8085,1031625855,2002-09-08,Monarch Fall Roost,1,43.972,-92.058,0,"We have been seeing Monarchs since Sunday, the 8th and it is the usual time when we see them. The only difference is other years we usually see thousands of them but we first noticed them the outside temperature was in the nineties and there were only a couple hundred. They usually roost in our cedar trees and are so heavy that you can't see the green of the cedar. This year they are far and few between, but it's early and a couple of hundred are better than none. We will keep waiting and watching. A cold front is supposed to go through later this week. We will keep you posted.",-999999.999,-999999.999,-999999.999,9907309,-999999.999,1,Monarch Fall Roost,0
8092,1031681402,2002-09-10,Monarch Fall Roost,1,44.378,-94.078,0,"Jim Gilbert reports from the Gustavus Adolphis campus in St. Peter, MN:<P>Last week (Wed., Thurs., Fri.), I had tagged 50 monarchs with students. Every day, we kept seeing the same ones hanging around the gardens. They?d roost in the trees at night and come nectar in the garden during the day. Even a couple of days later we were still seeing some with tags on. BUT what?s interesting is that there?s a new group of about 25 there today. We?re not finding a single one with a tag-?the old group is gone! A cold front came through yesterday evening and we have a north wind today. (What I don?t know is what time the old group left. It could be that they took off this morning, or late yesterday. I?m a commuter so I wasn?t here in the evening or early morning.)",-999999.999,-999999.999,-999999.999,9710973,-999999.999,1,Monarch Fall Roost,0
8123,1031828816,2002-09-11,Monarch Fall Roost,1,41.03,-95.585,0,A cold front came through on Tuesday (09/10/02).  I noticed a few monarch while driving from Council Bluffs to Sioux City. Then Wednesday (09/11/02)  I noticed more flying around and we had more than 60 roosting in our trees. Before this day only a few were flying around the house or roosting.,-999999.999,-999999.999,-999999.999,9703002,-999999.999,1,Monarch Fall Roost,0
8276,1032439212,2002-09-15,Monarch Fall Roost,1,38.415,-95.259,0,"After a lull last week, seeing only 1 or none each day, this evening the 15th, I observed good numbers. Anywhere from 3 to 8 per minute cruising into my tall cedar trees to roost.  I was able to tag 6, all were fresh and bright.<P><B>Sept. 17</B><br>Counted 17 on my 30 minute drive home yesterday from Osawatomie to Richmond, monarchs continued roosting in tall cedars although not as many as the evening before. I tagged 12.  Today at school we tagged 4, they paid no attention to the flowers but were resting all through the day on sugar maple trees in the shade.",-999999.999,-999999.999,-999999.999,9955886,-999999.999,1,Monarch Fall Roost,0
8366,1032661977,2002-09-20,Monarch Fall Roost,1,34.996,-97.973,0,"Saw one monarch fluttering in a stand of elm & hackberry trees in the RiverBend Golf Course near the Washita River.  Last year there were 50+ monarchs roosting there about the same time of the year.  The single monarch landed to roost for the evening about 6:00 p.m.  If there were more monarchs, I didn't see them.",Grand,4.0,-999999.999,9906448,-999999.999,1,Monarch Fall Roost,0
8382,1032748251,2002-09-22,Monarch Fall Roost,1,35.84,-97.478,0,We observed the largest roost ever in elm tree on our property this evening.  We estimate about 200 Monarchs.,-999999.999,-999999.999,-999999.999,9906830,-999999.999,1,Monarch Fall Roost,0
8439,1032985956,2002-09-24,Monarch Fall Roost,1,35.69,-99.472,0,"Hammon Elementary's Third Grade class caught, tagged and released 100 Monarch butterflies as they were roosting in trees this morning. The temperature was in the upper 50's or low 60's so they were not ready to fly and that made them fairly easy to catch. As the temperature rose to the 70's they became more lively and were more difficult to catch. We estimate that we caught 20 that got away before being tagged. :) We also caught a Black Swallowtail--Oklahoma's state butterfly. :)",Hammon elementary,-999999.999,-999999.999,9712277,-999999.999,1,Monarch Fall Roost,0
8440,1032987208,2002-09-22,Monarch Fall Roost,1,35.288,-97.988,0,"This evening my wife and I counted 15 Monarchs. The most we haveever seen since we have been living here. We live 12 miles west of Minco OK. They are roosting in our Cedar trees for the night.The word got out that we have food and water for them. <P> As of September 26: We see 15 to 20 a day at least, if not more, from daylight to dark. Wecan't tell if they are new ones each day, they are definintly roosting inour trees, we saw them roosting in our oak and cedar trees tonight. Some arefeeding on our butterfly bushes, and some keep on flying right on by. Wealso have sources of water, and other plants that may possibly attract them.We will be looking for them tomorrow. We have 10 acres mostly wooded andwild. ",-999999.999,-999999.999,-999999.999,2280,-999999.999,1,Monarch Fall Roost,0
