,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
4355,978202507,2000-12-30,Milkweed (FIRST sighted),1,28.529,-96.679,0,"A ""last milkweed of the year"" report:  As of December 21 there was still some green, healthy Asclepias here in Calhoun County along the mid coast of Texas.  Asclepias oenotheroides was to be found from Seadrift to Port O'Connor and a small amount of A. linearias in Seadrift.  Most was going dormant but a few new plants of new A. oenotheroides were also found.  There was also been some in eastern DeWitt County as of December 19.  The last of the A. viridis became dormant about mid December.  We hope to see the first new sprouts of A. viridis by mid February.  Some Texas milkweed: http://asclepias.homestead.com/  No monarchs were seen visiting these milkweeds.",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,(Monarch) Milkweed emerges,1
4366,981670521,2001-02-07,Milkweed (FIRST sighted),1,29.805,-98.413,0,"I was clearing some old milkweed stalks in the back that I had knocked down after they had burst in the freeze a few weeks ago. Some are now over 3"" tall.",-999999.999,-999999.999,-999999.999,9901002,-999999.999,1,(Monarch) Milkweed emerges,1
4367,981927477,2001-02-09,Milkweed (FIRST sighted),1,29.047,-82.046,0,"As I went out to my butterfly garden to survey the damage the cold weather had done, I noticed that there were some tiny green shoots peeking above the mulch.  One of the white milkweed variety has a shoot on a stem as well as some near the base of the stem. ",Lake weir middle,6.0,-999999.999,9705812,-999999.999,1,(Monarch) Milkweed emerges,1
4371,982259763,2001-02-15,Milkweed (FIRST sighted),1,30.42,-87.224,0,poking up through the mulch of one of our butterfly beds was a shoot of scarlet milkweed. we cut them to the ground before the first freeze every year and cover them with saw dust. they seem to get a better start each spring when we do that.,-999999.999,-999999.999,-999999.999,2331,-999999.999,1,(Monarch) Milkweed emerges,1
4380,982949107,2001-02-10,Milkweed (FIRST sighted),1,30.178,-95.504,0,"We have milkweed leaves that have been out for a fewweeks.  No buds for flowers yet, but they should behere soon.",Holy oak catholic homeschool,-999999.999,-999999.999,9922693,-999999.999,1,(Monarch) Milkweed emerges,1
4384,982974544,2001-02-15,Milkweed (FIRST sighted),1,27.401,-82.467,0,We spotted a monarch in the garden several weeks ago.Now we see one or two every day.The milk week has started growing again.  Leaves are presentbut no flowers yet.,J. p. miller,1.0,-999999.999,9705576,-999999.999,1,(Monarch) Milkweed emerges,1
4386,983026560,2001-02-23,Milkweed (FIRST sighted),1,28.529,-96.679,0,Backyard Asclepias curassavica never lost all their leaves and were cut back to bare stems.  The new growth has leaves up to three inches long and flower buds may open this week.  In the backyard we also have A. asperula and A. tuberosa that have broken thru the surface of the soil.  The A. asperua has a couple of new stems about two inches long with about eight leaves each.  We think the wild A. viridis in Victoria County was just breaking the ground but it will be a week before we can be sure.  The last two weeks have been very springlike.  The chance for a frost should be past for the year now.  Corn planting started on Wednesday.,Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,(Monarch) Milkweed emerges,1
4388,983152763,2001-02-15,Milkweed (FIRST sighted),1,29.757,-95.365,0,"Milkweed grows year round in my garden.  Currently blooming, no larvae sited yet.",-999999.999,-999999.999,-999999.999,1472,-999999.999,1,(Monarch) Milkweed emerges,1
4389,983157404,2001-02-25,Milkweed (FIRST sighted),1,28.81,-96.98,0,"We found wild, native Asclepias viridis in the city of Victoria, Victoria County, Texas and six miles east of Victoria this afternoon.  These plants are growing in the highway right-of-ways along US87 and at US59/87.  Photos of A. viridis and A. asperula today:  http://feb2k1.homestead.com/feb25.html",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,(Monarch) Milkweed emerges,1
4392,983202622,2001-02-01,Milkweed (FIRST sighted),1,28.081,-82.758,0,We have had a very few adult monarchs all winter.  Eggs occasionally.  Found 4-5 caterpillars twice when a school needed them this past month.  Saw an egg or two today but not more than a monarch or two. ,"7 schools, jr. gardeners with fl fed. of garden cl",-999999.999,-999999.999,9713351,-999999.999,1,(Monarch) Milkweed emerges,1
4394,983202776,2001-02-23,Milkweed (FIRST sighted),1,30.388,-87.059,0," I do have a milkweed plant in my garden, which so far, is  unmunched. ",Retired from university teaching,-999999.999,-999999.999,9711644,-999999.999,1,(Monarch) Milkweed emerges,1
4395,983202979,2001-02-23,Milkweed (FIRST sighted),1,29.957,-90.078,0,I saw a rather large (5th instar?) caterpillar chewing on the (just-emerging-after-the-first-freeze in years-back-in-Jan) baby milkweed leaves.  I'll keep checking and let you know,"Audubon zoo, education department",-999999.999,-999999.999,2477,-999999.999,1,(Monarch) Milkweed emerges,1
4397,983208676,2001-02-26,Milkweed (FIRST sighted),1,29.469,-98.528,0,"Today on our Signs of Spring Walk we found the first Asclepius asperula on campus.  It was 4 cm tall, in excellent condition, and there were no invertebrates found on the plant.",Texas military institute,12.0,-999999.999,9950706,-999999.999,1,(Monarch) Milkweed emerges,1
4406,983758288,2001-03-04,Milkweed (FIRST sighted),1,28.529,-96.679,0,"This afternoon, we visited the group of monarchs that spent the winter in Port O'Connor, Calhoun County, Texas, about fifteen miles east of Port Lavaca.  We found one of the native milkweeds,Asclepias oenotheroides, west of Port O'Connor along state highway 185 with a good amount of growth.  It seems to have survived last year's drought better than the Asclepias viridis in the county.  It is now the first week of March and three varieties of wild, native milkweed are up and thriving from the mid coast to just northwest of San Antonio in Texas.  Photos at:  http://mar2k1.homestead.com/mar4.html",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,(Monarch) Milkweed emerges,1
4414,984187381,2001-03-09,Milkweed (FIRST sighted),1,28.529,-96.679,0,"March 9, 2001: Native milkweed is reported from the middle of the Texas coast west across south central Texas.  Some of the scattered stands of Asclepias oenotheroides (Herba de Zizotes)is now at least 15 cm tall from Port O'Connor (Calhoun County) west to Eagle Pass (Maverick County).  Stems of the sprawling Asclepias viridis (Green Milkweed) in Calhoun and Victoria Counties are almost this length.  Asclepias asperula (Antelope Horns) of about the same size can be found now from Cuero (DeWitt County) west to northwest of San Antonio (Bexar County).  The first blooms of these plants will be visible along the roadsides and in grazed pastures the next two weeks.  ",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,(Monarch) Milkweed emerges,1
4415,984259281,2001-03-10,Milkweed (FIRST sighted),1,30.54,-96.725,0,"Our first milkweed emerged some time between 03/03 and 03/10/01.  We may also have found the first monarch egg, but we aren't completely sure since we haven't seen ANY monarchs this far yet.",St.joseph elementary,3.0,-999999.999,9713985,-999999.999,1,(Monarch) Milkweed emerges,1
4417,984364292,2001-03-10,Milkweed (FIRST sighted),1,30.51,-92.102,0,"We are located in southwest Opelusas, Louisiana and the milkweed issprouting here.",Holy cross academy,2.0,-999999.999,9901567,-999999.999,1,(Monarch) Milkweed emerges,1
4425,984500403,2001-02-27,Milkweed (FIRST sighted),1,30.449,-91.188,0,"Lepidopterist Dr. Gary Ross estimates emerge date of Antelope horn milkweed to be 2/27/01 in Baton Rouge, LA.",-999999.999,-999999.999,-999999.999,2586,-999999.999,1,(Monarch) Milkweed emerges,1
4435,984685787,2001-03-06,Milkweed (FIRST sighted),1,30.429,-84.258,0,Milkweed plants in front yard have emerged after being killed back by several hard freezes this year.,Kate sullivan,4.0,-999999.999,9902083,-999999.999,1,(Monarch) Milkweed emerges,1
4439,985046951,2001-03-19,Milkweed (FIRST sighted),1,31.992,-102.081,0,"A native, vining milkweed has just begun to come up here.  We also have the common milkweed, and we will be watching it closely.",-999999.999,-999999.999,-999999.999,9711956,-999999.999,1,(Monarch) Milkweed emerges,1
4448,985108391,2001-03-20,Milkweed (FIRST sighted),1,29.469,-98.528,0,"Last year on March 24 we found 11 A. asperula on campus with an average stem length of 12.9cm.  There were 14 eggs on the plants.Today, March 20 we found 5 A. asperula on the same hillside with an average stem length of 5.2cm.  No egg or larvae were found.",Texas military institute,12.0,-999999.999,9950706,-999999.999,1,(Monarch) Milkweed emerges,1
4451,985211135,2001-03-20,Milkweed (FIRST sighted),1,34.859,-92.398,0,My milkweed is just breaking dormancy.  Hope to see the butterflies soon.,Lakewood middle school,7.0,-999999.999,1980,-999999.999,1,(Monarch) Milkweed emerges,1
