month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
1,1998,25+_TO_30,3,3,3
1,1999,25+_TO_30,2,2,2
1,1999,30+_TO_35,1,1,1
1,1999,35+_TO_40,2,2,2
1,2000,25+_TO_30,6,6,5
1,2001,25+_TO_30,6,6,4
1,2003,25+_TO_30,1,1,1
1,2003,30+_TO_35,1,1,1
1,2004,25+_TO_30,2,2,2
1,2004,30+_TO_35,1,1,1
1,2004,35+_TO_40,1,1,1
1,2005,25+_TO_30,3,3,3
1,2006,25+_TO_30,1,1,1
1,2007,20_OR_LESS,1,1,1
1,2007,30+_TO_35,1,1,1
1,2008,25+_TO_30,1,1,1
1,2008,30+_TO_35,1,1,1
1,2009,30+_TO_35,1,1,1
1,2012,25+_TO_30,2,2,2
1,2012,30+_TO_35,1,1,1
1,2015,25+_TO_30,1,1,1
1,2016,25+_TO_30,2,2,1
1,2016,30+_TO_35,2,2,2
1,2017,25+_TO_30,1,1,1
1,2017,35+_TO_40,1,1,1
1,2018,25+_TO_30,4,9,4
1,2018,30+_TO_35,7,9,7
1,2019,20_OR_LESS,2,8,2
1,2019,25+_TO_30,12,20,7
1,2019,30+_TO_35,12,15,10
1,2019,35+_TO_40,1,1,1
2,1998,25+_TO_30,18,18,9
2,1998,30+_TO_35,10,10,7
2,1998,35+_TO_40,2,2,2
2,1999,25+_TO_30,12,12,9
2,1999,30+_TO_35,4,4,4
2,1999,35+_TO_40,1,1,1
2,2000,20+_TO_25,1,1,1
2,2000,25+_TO_30,18,18,12
2,2000,30+_TO_35,5,5,5
2,2000,35+_TO_40,4,4,3
2,2001,25+_TO_30,21,21,11
2,2001,30+_TO_35,3,3,3
2,2002,25+_TO_30,2,2,2
2,2002,30+_TO_35,2,2,2
2,2003,25+_TO_30,3,3,3
2,2003,30+_TO_35,1,1,1
2,2003,35+_TO_40,1,1,1
2,2004,25+_TO_30,6,6,6
2,2004,30+_TO_35,1,1,1
2,2004,4O+_TO_45,1,1,1
2,2005,25+_TO_30,5,5,5
2,2005,30+_TO_35,1,1,1
2,2006,25+_TO_30,1,1,1
2,2006,30+_TO_35,5,5,4
2,2007,20_OR_LESS,1,1,1
2,2007,25+_TO_30,3,3,3
2,2007,30+_TO_35,1,1,1
2,2008,25+_TO_30,7,7,7
2,2008,30+_TO_35,1,1,1
2,2009,25+_TO_30,14,14,9
2,2009,30+_TO_35,3,3,2
2,2010,25+_TO_30,1,1,1
2,2011,25+_TO_30,4,4,4
2,2011,30+_TO_35,1,1,1
2,2012,20+_TO_25,1,1,1
2,2012,20_OR_LESS,2,2,2
2,2012,25+_TO_30,16,16,11
2,2012,30+_TO_35,11,11,9
2,2013,20+_TO_25,1,1,1
2,2013,25+_TO_30,1,1,1
2,2013,30+_TO_35,2,2,2
2,2014,20_OR_LESS,1,1,1
2,2014,25+_TO_30,8,8,7
2,2014,30+_TO_35,5,5,4
2,2014,35+_TO_40,1,1,1
2,2015,20+_TO_25,1,1,1
2,2015,25+_TO_30,2,2,2
2,2015,30+_TO_35,11,11,9
2,2015,35+_TO_40,1,1,1
2,2015,4O+_TO_45,1,1,1
2,2016,20+_TO_25,1,1,1
2,2016,20_OR_LESS,1,10000,1
2,2016,25+_TO_30,30,34,19
2,2016,30+_TO_35,12,14,10
2,2016,35+_TO_40,10,13,10
2,2017,20_OR_LESS,1,1,1
2,2017,25+_TO_30,4,6,4
2,2017,30+_TO_35,6,7,4
2,2017,35+_TO_40,1,1,1
2,2018,20+_TO_25,2,3,1
2,2018,20_OR_LESS,3,5,3
2,2018,25+_TO_30,28,39,15
2,2018,30+_TO_35,22,27,17
2,2018,35+_TO_40,7,9,6
2,2019,20+_TO_25,6,867,4
2,2019,20_OR_LESS,4,2197,4
2,2019,25+_TO_30,61,84,18
2,2019,30+_TO_35,55,87,23
2,2019,35+_TO_40,4,4,4
2,2020,20+_TO_25,3,127,3
2,2020,20_OR_LESS,1,7,1
2,2020,25+_TO_30,2,2,2
2,2020,30+_TO_35,11,14,8
2,2020,35+_TO_40,4,6,4
3,1997,25+_TO_30,5,5,4
3,1997,35+_TO_40,2,2,2
3,1998,25+_TO_30,18,18,13
3,1998,30+_TO_35,34,34,13
3,1998,35+_TO_40,1,1,1
3,1999,25+_TO_30,23,23,13
3,1999,30+_TO_35,35,35,15
3,1999,35+_TO_40,1,1,1
3,2000,20+_TO_25,2,2,2
3,2000,20_OR_LESS,1,1,1
3,2000,25+_TO_30,24,24,17
3,2000,30+_TO_35,59,59,25
3,2000,35+_TO_40,9,9,6
3,2001,25+_TO_30,50,50,22
3,2001,30+_TO_35,33,33,14
3,2002,20+_TO_25,3,3,3
3,2002,25+_TO_30,78,78,24
3,2002,30+_TO_35,128,128,24
3,2002,35+_TO_40,12,12,7
3,2003,25+_TO_30,46,46,22
3,2003,30+_TO_35,74,74,21
3,2003,35+_TO_40,4,4,3
3,2004,25+_TO_30,39,39,22
3,2004,30+_TO_35,39,39,18
3,2004,35+_TO_40,3,3,3
3,2005,20_OR_LESS,1,1,1
3,2005,25+_TO_30,32,32,18
3,2005,30+_TO_35,48,48,15
3,2005,35+_TO_40,2,2,2
3,2006,20+_TO_25,4,4,3
3,2006,20_OR_LESS,4,4,4
3,2006,25+_TO_30,35,35,13
