month,year,lat_range,adult_sight_dates,adult_sight_number,adult_sight_distinct_dates
1,1997,30+_TO_35,1,1,1
1,2002,25+_TO_30,5,5,4
1,2002,30+_TO_35,2,2,2
1,2002,35+_TO_40,3,3,3
1,2003,25+_TO_30,5,5,5
1,2003,30+_TO_35,3,3,3
1,2003,35+_TO_40,1,1,1
1,2004,20_OR_LESS,1,1,1
1,2004,25+_TO_30,4,4,3
1,2004,30+_TO_35,6,6,5
1,2005,20_OR_LESS,1,1,1
1,2005,25+_TO_30,10,10,7
1,2005,30+_TO_35,11,11,3
1,2005,35+_TO_40,9,9,1
1,2006,20_OR_LESS,1,1,1
1,2006,25+_TO_30,9,9,8
1,2006,30+_TO_35,17,17,8
1,2006,35+_TO_40,9,9,1
1,2007,20_OR_LESS,1,1,1
1,2007,25+_TO_30,4,4,4
1,2007,30+_TO_35,5,5,5
1,2007,35+_TO_40,1,1,1
1,2008,20_OR_LESS,2,2,1
1,2008,25+_TO_30,6,6,6
1,2008,30+_TO_35,5,5,4
1,2008,4O+_TO_45,1,1,1
1,2009,20_OR_LESS,2,2,1
1,2009,25+_TO_30,10,10,6
1,2009,30+_TO_35,15,15,6
1,2009,35+_TO_40,14,14,4
1,2010,25+_TO_30,12,13,10
1,2010,30+_TO_35,7,7,4
1,2010,35+_TO_40,4,4,2
1,2011,20_OR_LESS,2,2,1
1,2011,25+_TO_30,22,22,13
1,2011,30+_TO_35,15,15,13
1,2011,35+_TO_40,21,21,8
1,2012,20_OR_LESS,2,2,1
1,2012,25+_TO_30,55,96,27
1,2012,30+_TO_35,46,2056,21
1,2012,35+_TO_40,15,15,2
1,2013,20_OR_LESS,1,1,1
1,2013,25+_TO_30,27,27,16
1,2013,30+_TO_35,25,36,12
1,2013,35+_TO_40,9,9,3
1,2014,20+_TO_25,1,1,1
1,2014,20_OR_LESS,2,2,1
1,2014,25+_TO_30,18,18,14
1,2014,30+_TO_35,27,11108,15
1,2014,35+_TO_40,7,93361,3
1,2014,4O+_TO_45,1,1,1
1,2015,20_OR_LESS,3,3,2
1,2015,25+_TO_30,33,33,23
1,2015,30+_TO_35,27,7809,16
1,2015,35+_TO_40,13,127355,5
1,2015,4O+_TO_45,1,8,1
1,2016,20_OR_LESS,4,20,2
1,2016,25+_TO_30,35,69,19
1,2016,30+_TO_35,16,233,13
1,2016,35+_TO_40,8,88105,3
1,2016,4O+_TO_45,1,1,1
1,2017,20+_TO_25,4,18,4
1,2017,20_OR_LESS,2,2,2
1,2017,25+_TO_30,43,78,23
1,2017,30+_TO_35,30,36,18
1,2017,35+_TO_40,11,75459,5
1,2018,20+_TO_25,2,301,2
1,2018,20_OR_LESS,1,1,1
1,2018,25+_TO_30,3,12,3
1,2018,30+_TO_35,6,10106,5
1,2018,35+_TO_40,5,56386,2
1,2019,20+_TO_25,1,1,1
1,2019,20_OR_LESS,1,1,1
1,2019,25+_TO_30,1,3,1
1,2019,30+_TO_35,7,17,4
1,2020,25+_TO_30,27,41,20
1,2020,30+_TO_35,27,32,18
1,2020,35+_TO_40,3,3,3
2,1997,25+_TO_30,9,9,7
2,2001,30+_TO_35,1,1,1
2,2002,25+_TO_30,23,23,13
2,2002,30+_TO_35,11,11,8
2,2002,35+_TO_40,4,4,4
2,2003,25+_TO_30,17,17,13
2,2003,30+_TO_35,4,4,3
2,2003,35+_TO_40,7,7,3
2,2004,20_OR_LESS,1,1,1
2,2004,25+_TO_30,9,9,8
2,2004,30+_TO_35,2,2,2
2,2005,25+_TO_30,5,5,5
2,2005,30+_TO_35,2,2,2
2,2006,25+_TO_30,12,12,8
2,2006,30+_TO_35,4,4,3
2,2006,35+_TO_40,2,2,2
2,2007,25+_TO_30,6,6,6
2,2007,30+_TO_35,4,4,3
2,2008,25+_TO_30,17,17,13
2,2008,30+_TO_35,10,10,9
2,2009,20_OR_LESS,2,2,2
2,2009,25+_TO_30,36,36,13
2,2009,30+_TO_35,10,10,8
2,2010,20_OR_LESS,1,1,1
2,2010,25+_TO_30,10,10,7
2,2010,30+_TO_35,1,1,1
2,2010,35+_TO_40,7,9,4
2,2011,25+_TO_30,19,19,12
2,2011,30+_TO_35,13,13,11
2,2011,35+_TO_40,6,6,6
2,2012,20+_TO_25,1,10,1
2,2012,20_OR_LESS,2,2,2
2,2012,25+_TO_30,23,23,15
2,2012,30+_TO_35,12,12,7
2,2012,35+_TO_40,1,1,1
2,2013,20_OR_LESS,2,2,2
2,2013,25+_TO_30,39,39,22
2,2013,30+_TO_35,35,35,21
2,2013,35+_TO_40,5,5,4
2,2014,20+_TO_25,1,1,1
2,2014,25+_TO_30,18,18,12
2,2014,30+_TO_35,13,13,10
2,2014,35+_TO_40,2,2,1
2,2014,45+_TO_50,1,1,1
2,2015,20+_TO_25,1,1,1
2,2015,25+_TO_30,38,38,19
2,2015,30+_TO_35,12,12,9
2,2015,35+_TO_40,5,5,5
2,2016,20+_TO_25,2,7,2
2,2016,20_OR_LESS,2,101,2
2,2016,25+_TO_30,34,70,17
2,2016,30+_TO_35,27,59,14
2,2016,35+_TO_40,13,2568,10
2,2017,20_OR_LESS,2,10001,2
2,2017,25+_TO_30,40,58,20
2,2017,30+_TO_35,46,72,21
2,2017,35+_TO_40,7,77,7
2,2018,20+_TO_25,2,5,2
2,2018,20_OR_LESS,3,101200,3
2,2018,25+_TO_30,40,76,22
2,2018,30+_TO_35,23,35,15
2,2018,35+_TO_40,8,49,5
2,2019,20+_TO_25,3,5,3
2,2019,20_OR_LESS,1,5000,1
2,2019,25+_TO_30,19,63,13
2,2019,30+_TO_35,3,3,3
2,2019,35+_TO_40,1,1,1
2,2020,20+_TO_25,4,8,4
2,2020,20_OR_LESS,1,1,1
2,2020,25+_TO_30,57,88,26
2,2020,30+_TO_35,37,56,18
2,2020,35+_TO_40,3,5,3
3,1996,35+_TO_40,1,1,1
3,1997,25+_TO_30,27,27,18
3,1997,30+_TO_35,36,36,18
3,1997,35+_TO_40,10,10,4
3,1997,4O+_TO_45,1,1,1
3,2002,25+_TO_30,2,2,2
3,2004,25+_TO_30,5,5,3
3,2004,30+_TO_35,1,1,1
3,2005,25+_TO_30,6,6,6
3,2005,30+_TO_35,3,3,3
3,2006,25+_TO_30,7,7,7
3,2006,30+_TO_35,6,6,6
3,2008,25+_TO_30,5,5,4
3,2008,30+_TO_35,1,1,1
3,2009,25+_TO_30,2,2,2
3,2009,30+_TO_35,1,1,1
3,2009,35+_TO_40,1,1,1
3,2009,4O+_TO_45,1,2,1
3,2010,25+_TO_30,1,1,1
3,2010,30+_TO_35,1,1,1
3,2011,25+_TO_30,2,2,2
3,2011,30+_TO_35,2,2,2
3,2011,35+_TO_40,5,5,4
3,2012,25+_TO_30,8,8,7
3,2012,30+_TO_35,3,4,3
3,2013,25+_TO_30,2,2,1
3,2013,35+_TO_40,1,1,1
3,2014,25+_TO_30,1,1,1
3,2015,20_OR_LESS,1,1,1
3,2015,25+_TO_30,7,7,6
3,2015,30+_TO_35,4,4,4
3,2015,4O+_TO_45,2,6,1
3,2016,20+_TO_25,2,5,2
3,2016,20_OR_LESS,1,1,1
3,2016,25+_TO_30,62,132,28
3,2016,30+_TO_35,54,83,23
3,2016,35+_TO_40,5,13,5
3,2017,20+_TO_25,3,26,3
3,2017,20_OR_LESS,1,5,1
3,2017,25+_TO_30,40,71,19
3,2017,30+_TO_35,76,138,26
3,2017,35+_TO_40,9,9,7
3,2018,20+_TO_25,28,19122,12
3,2018,20_OR_LESS,4,19122,3
3,2018,25+_TO_30,123,347,31
3,2018,30+_TO_35,145,530,25
3,2018,35+_TO_40,4,6,4
3,2019,20+_TO_25,12,441,8
3,2019,20_OR_LESS,2,2,2
3,2019,25+_TO_30,159,522,30
3,2019,30+_TO_35,238,951,29
3,2019,35+_TO_40,6,7,6
3,2019,4O+_TO_45,1,1,1
3,2020,20_OR_LESS,7,7,5
3,2020,25+_TO_30,174,330,30
3,2020,30+_TO_35,316,1782,31
3,2020,35+_TO_40,12,14,8
4,1997,25+_TO_30,1,1,1
4,1997,30+_TO_35,19,27,11
4,1997,35+_TO_40,76,77,24
4,1997,4O+_TO_45,16,16,9
4,2002,30+_TO_35,2,2,1
4,2003,30+_TO_35,1,1,1
4,2003,4O+_TO_45,1,1,1
4,2011,20_OR_LESS,1,1,1
4,2011,30+_TO_35,2,4,2
4,2014,25+_TO_30,1,1,1
4,2014,4O+_TO_45,2,7,1
4,2016,20+_TO_25,6,16,5
4,2016,20_OR_LESS,1,7,1
4,2016,25+_TO_30,52,110,24
4,2016,30+_TO_35,118,252,28
4,2016,35+_TO_40,9,14,7
4,2016,4O+_TO_45,1,1,1
4,2017,25+_TO_30,127,284,30
4,2017,30+_TO_35,182,397,30
4,2017,35+_TO_40,239,2628,27
4,2017,4O+_TO_45,17,36,13
4,2018,20+_TO_25,2,2,1
4,2018,25+_TO_30,55,85,24
4,2018,30+_TO_35,267,907,30
4,2018,35+_TO_40,55,71,19
4,2018,4O+_TO_45,1,1,1
4,2019,20+_TO_25,1,2,1
4,2019,20_OR_LESS,1,1,1
4,2019,25+_TO_30,80,216,29
4,2019,30+_TO_35,162,711,30
4,2019,35+_TO_40,99,116,28
4,2019,4O+_TO_45,3,3,3
4,2020,20_OR_LESS,2,2,2
4,2020,25+_TO_30,88,286,30
4,2020,30+_TO_35,188,396,29
4,2020,35+_TO_40,132,199,28
5,1997,30+_TO_35,1,1,1
5,1997,35+_TO_40,28,28,13
5,1997,45+_TO_50,6,6,4
5,1997,4O+_TO_45,62,62,25
5,2010,35+_TO_40,2,2,2
5,2010,45+_TO_50,1,1,1
5,2010,4O+_TO_45,1,1,1
5,2011,30+_TO_35,1,1,1
5,2012,30+_TO_35,1,5,1
5,2012,4O+_TO_45,1,1,1
5,2013,30+_TO_35,3,17,3
5,2013,35+_TO_40,3,5,3
5,2013,4O+_TO_45,1,1,1
5,2014,30+_TO_35,1,2,1
5,2014,35+_TO_40,3,9,3
5,2014,4O+_TO_45,4,4,4
5,2015,25+_TO_30,1,1,1
5,2015,30+_TO_35,1,24,1
5,2015,35+_TO_40,1,1,1
5,2015,45+_TO_50,1,4,1
5,2015,4O+_TO_45,2,3,2
5,2016,20+_TO_25,1,6,1
5,2016,20_OR_LESS,2,3,1
5,2016,25+_TO_30,33,61,23
5,2016,30+_TO_35,72,111,26
5,2016,35+_TO_40,46,66,18
5,2016,45+_TO_50,3,4,3
5,2016,4O+_TO_45,30,38,13
5,2017,25+_TO_30,49,81,25
5,2017,30+_TO_35,70,193,31
5,2017,35+_TO_40,73,164,28
5,2017,45+_TO_50,5,5,3
5,2017,4O+_TO_45,66,82,20
5,2018,20+_TO_25,1,2,1
5,2018,25+_TO_30,26,36,20
5,2018,30+_TO_35,135,247,30
5,2018,35+_TO_40,91,161,28
5,2018,45+_TO_50,17,25,8
5,2018,4O+_TO_45,128,179,23
5,2019,20+_TO_25,2,4,2
5,2019,25+_TO_30,41,97,24
5,2019,30+_TO_35,93,339,30
5,2019,35+_TO_40,112,172,30
5,2019,45+_TO_50,10,19,5
5,2019,4O+_TO_45,189,282,18
5,2020,20+_TO_25,1,2,1
5,2020,25+_TO_30,23,41,16
5,2020,30+_TO_35,136,229,31
5,2020,35+_TO_40,119,179,26
5,2020,45+_TO_50,16,20,6
5,2020,4O+_TO_45,94,132,18
6,1996,4O+_TO_45,1,1,1
6,1997,35+_TO_40,2,2,2
6,1997,45+_TO_50,18,18,13
6,1997,4O+_TO_45,34,34,18
6,1997,5O+_OR_GREATER,5,5,3
6,2009,4O+_TO_45,1,1,1
6,2010,35+_TO_40,1,1,1
6,2012,45+_TO_50,2,4,2
6,2012,4O+_TO_45,1,1,1
6,2013,35+_TO_40,1,1,1
6,2013,45+_TO_50,1,4,1
6,2013,4O+_TO_45,3,3,3
6,2014,30+_TO_35,1,1,1
6,2014,35+_TO_40,12,15,9
6,2014,45+_TO_50,9,14,8
6,2014,4O+_TO_45,32,39,14
6,2015,25+_TO_30,1,1,1
6,2015,35+_TO_40,3,8,3
6,2015,45+_TO_50,3,4,3
6,2015,4O+_TO_45,13,39,12
6,2016,20+_TO_25,2,6,2
6,2016,25+_TO_30,27,69,16
6,2016,30+_TO_35,41,79,20
6,2016,35+_TO_40,66,169,25
6,2016,45+_TO_50,38,51,21
6,2016,4O+_TO_45,126,177,30
6,2017,20+_TO_25,3,3,3
6,2017,25+_TO_30,25,38,19
6,2017,30+_TO_35,33,55,23
6,2017,35+_TO_40,132,174,30
6,2017,45+_TO_50,94,134,29
6,2017,4O+_TO_45,306,452,30
6,2018,25+_TO_30,12,15,9
6,2018,30+_TO_35,50,79,26
6,2018,35+_TO_40,138,291,29
6,2018,45+_TO_50,54,96,24
6,2018,4O+_TO_45,272,487,30
6,2018,5O+_OR_GREATER,3,10,3
6,2019,20+_TO_25,1,2,1
6,2019,25+_TO_30,11,17,8
6,2019,30+_TO_35,40,77,17
6,2019,35+_TO_40,176,251,30
6,2019,45+_TO_50,90,190,24
6,2019,4O+_TO_45,284,559,30
6,2019,5O+_OR_GREATER,1,12,1
6,2020,25+_TO_30,15,26,12
6,2020,30+_TO_35,79,145,29
6,2020,35+_TO_40,120,178,29
6,2020,45+_TO_50,70,120,26
6,2020,4O+_TO_45,239,374,30
6,2020,5O+_OR_GREATER,7,14,5
7,1997,45+_TO_50,5,5,5
7,1997,4O+_TO_45,2,2,2
7,2002,45+_TO_50,1,1,1
7,2009,35+_TO_40,2,4,1
