,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
77626,1437487881,2015-07-20,"Monarch, Captive-Reared",1,43.7,-79.417,0,"Released first monarch of the season in Etobicoke. Male emerged earlier today.Have 2 more that should eclose over the next 2 days.Slow start to the season, but have collected 16 eggs over the past 3 days.",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1437487881.jpg,9983723,1.0,0,"Monarch, Captive-Reared",0
77761,1437684876,2015-07-23,"Monarch, Captive-Reared",2,37.954,-87.391,0,I just released this female and male monarch. I placed them on the lantana.The female flew away first but she was the first to come out of the chrysalis.In the last two days I released  6 males and 2 females. They all were in good condition. ,-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1437684876.jpg,9976074,2.0,0,"Monarch, Captive-Reared",0
77800,1437757073,2015-07-24,"Monarch, Captive-Reared",1,40.106,-74.354,0,This is my first raised female that I named Flyer. Never did this before. I have another one in chrysalis and about 15 in the first stage and about 7 with black tip. This is really fun raising and releasing these flying wonders. :0),-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1437757073.jpg,9992117,1.0,0,"Monarch, Captive-Reared",0
77873,1437920818,2015-07-26,"Monarch, Captive-Reared",1,40.106,-74.354,0,My first released Monarch that was such fun to raise and go through the different stages of it's life. I suggest everyone should try this just once. We need to do this especially since much of the milkweed is getting mowed down and sprayed on top of that. At least we can save some of them. I myself have only seen 3 butterflies all season. Not good :(,-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1437920818.jpg,9992117,-999999.999,1,"Monarch, Captive-Reared",0
77930,1437960064,2015-07-26,"Monarch, Captive-Reared",3,38.51,-90.748,0,"This beautiful male came out of his chrysalis in the early morning.  It was a hot and humid day.  Also, two females were seen laying eggs on the milkweed in the garden.",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1437960064.jpg,9954412,3.0,0,"Monarch, Captive-Reared",0
78026,1438130344,2015-07-28,"Monarch, Captive-Reared",1,40.106,-74.354,0,This is my second raised Monarch. He's a beautiful big healthy male. His colors were outstanding and looks better on the red zinnia. Love doing this. :0),-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1438130344.jpg,9992117,1.0,0,"Monarch, Captive-Reared",0
78029,1438130588,2015-07-28,"Monarch, Captive-Reared",14,40.106,-74.354,0,This is just a shot of some of my little guys in various stages. There are more under the leaves. Going to have my hands full when they go into chrysalis. I like doing this but don't like them on me or flying around inside the house. I'm not big on bugs. LOL :0),-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1438130588.jpg,9992117,14.0,0,"Monarch, Captive-Reared",0
78114,1438256861,2015-07-30,"Monarch, Captive-Reared",1,37.954,-87.391,0,"Future monarchs for all of us to enjoy. They are eating machines right now. I just changed their  cage and give them fresh milkweed.   I would say they are close to going into the J form soon.Monarch  Waystation 10,666",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1438256861.jpg,9976074,-999999.999,1,"Monarch, Captive-Reared",0
78165,1438354951,2015-07-31,"Monarch, Captive-Reared",13,40.106,-74.354,0,These are my larva all in different stages. As you can see from picture I have 7 showing. One is peeking his head out of the hole of the leaf. The other 6 are under the leaves. My first year hand raising. I started these with eggs I found at the park. Very hard to find being there is no sighting of females any where. It is sad. :(,-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1438354951.jpg,9992117,13.0,0,"Monarch, Captive-Reared",0
78166,1438355161,2015-07-31,"Monarch, Captive-Reared",1,40.106,-74.354,0,This handsome guy was my second raised one. He is a beauty for sure. Proud to be an adoptive Mom for those eggs or larva that I found to give them a chance to survive and carry on the next generation. Good luck  :0),-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/07/1438355161.jpg,9992117,1.0,0,"Monarch, Captive-Reared",0
78195,1438433129,2015-08-01,"Monarch, Captive-Reared",1,43.297,-84.14,0,"I am rearing one of many eggs that I was honored to witness the Lady Monarch lay on Tues. 7/28/15. This is my first in over 20 years since I did this for my children. Day 1- laid, days 2 no visible change, day 3 - egg had black tip develop at about 70 hours after laying, day 4 - egg hatched, day 5 - caterpillar actively consuming milkweed, length approximately 3/16 inch. Sorry my camera will not focus on this small of an object. Will post photos as soon as focusable length is reached.",-999999.999,-999999.999,-999999.999,9984660,1.0,0,"Monarch, Captive-Reared",0
78232,1438460695,2015-08-01,"Monarch, Captive-Reared",1,39.429,-81.495,0,Caterpillar (~ .5 inches) on Swamp Milkweed.,Marietta middle school,7.0,https://journeynorth.org/jnorth/images/userfiles2015/08/1438460695.jpg,9976323,1.0,0,"Monarch, Captive-Reared",0
78284,1438536979,2015-08-02,"Monarch, Captive-Reared",1,43.297,-84.14,0,"Laid 7/28/15, hatch 7/31/15, attached pic 8/2/2015. stick pin on leaf for size comparison. Comon little buddy gotta eat, gotta grow, gotta go",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/08/1438536979.jpg,9984660,-999999.999,1,"Monarch, Captive-Reared",0
78310,1438561650,2015-08-02,"Monarch, Captive-Reared",8,40.106,-74.354,0,On July 31 I found 8 eggs at the park. These are 5 of the 8. The other 3 hatched today. I also have 8 in different stages of larva. Maybe 2 or 3 are getting close to go into chrysalis. :0),-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/08/1438561650.jpg,9992117,8.0,0,"Monarch, Captive-Reared",0
78323,1438608367,2015-08-03,"Monarch, Captive-Reared",51,32.774,-91.709,0," The monarch caterpillars continue to pupate in my chicken coop. I have been finding 6 or more a day in the strangest places.  I do collect the chrysalis, so they can emerge safely &amp; then I release them. My common milkweed patch has expanded,it is about 15 ft or so from the coop. the picture is from yesterday, found up by the roosting chickens. ",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2015/08/1438608367.jpg,9949176,51.0,0,"Monarch, Captive-Reared",0
