month,year,lat_range,captive_reared_dates,captive_reared_number,captive_reared_distinct_dates
1,2016,25+_TO_30,5,17,4
1,2016,30+_TO_35,6,19,5
1,2017,25+_TO_30,4,27,3
1,2017,30+_TO_35,12,24,9
1,2017,35+_TO_40,2,47,2
1,2018,25+_TO_30,3,53,2
1,2018,30+_TO_35,6,6,5
1,2018,35+_TO_40,7,18,7
1,2019,25+_TO_30,10,37,9
1,2019,30+_TO_35,6,40,5
1,2019,35+_TO_40,5,12,5
1,2020,20+_TO_25,1,2,1
1,2020,25+_TO_30,15,25,14
1,2020,30+_TO_35,1,2,1
2,2006,25+_TO_30,1,45,1
2,2016,25+_TO_30,7,21,6
2,2016,30+_TO_35,4,5,4
2,2016,35+_TO_40,1,5,1
2,2017,25+_TO_30,2,2,2
2,2017,30+_TO_35,17,47,12
2,2017,35+_TO_40,1,2,1
2,2018,25+_TO_30,8,30,7
2,2018,30+_TO_35,8,17,8
2,2018,35+_TO_40,3,5,3
2,2019,25+_TO_30,18,75,16
2,2019,30+_TO_35,4,28,4
2,2019,35+_TO_40,2,5,2
2,2020,25+_TO_30,7,11,7
2,2020,30+_TO_35,4,5,4
3,2016,25+_TO_30,6,31,5
3,2016,30+_TO_35,4,35,4
3,2017,20+_TO_25,1,5,1
3,2017,25+_TO_30,5,84,4
3,2017,30+_TO_35,9,12,9
3,2018,25+_TO_30,5,53,5
3,2018,30+_TO_35,5,67,5
3,2019,25+_TO_30,11,223,9
3,2019,30+_TO_35,17,217,13
3,2020,20+_TO_25,1,1,1
3,2020,25+_TO_30,11,170,9
3,2020,30+_TO_35,18,370,13
4,2016,20+_TO_25,2,6,2
4,2016,25+_TO_30,15,43,14
4,2016,30+_TO_35,29,135,16
4,2017,25+_TO_30,15,68,12
4,2017,30+_TO_35,15,99,12
4,2017,35+_TO_40,7,122,5
4,2018,25+_TO_30,16,288,10
4,2018,30+_TO_35,23,173,15
4,2018,35+_TO_40,4,15,4
4,2019,25+_TO_30,13,283,10
4,2019,30+_TO_35,34,886,19
4,2019,35+_TO_40,4,146,4
4,2020,25+_TO_30,17,119,13
4,2020,30+_TO_35,56,858,25
4,2020,35+_TO_40,2,17,2
5,2016,25+_TO_30,26,135,18
5,2016,30+_TO_35,39,65,22
5,2016,35+_TO_40,6,22,6
5,2016,4O+_TO_45,5,10,4
5,2017,25+_TO_30,13,57,12
5,2017,30+_TO_35,72,545,26
5,2017,35+_TO_40,76,486,27
5,2017,45+_TO_50,2,25,2
5,2017,4O+_TO_45,17,65,13
5,2018,25+_TO_30,7,214,5
5,2018,30+_TO_35,81,429,30
5,2018,35+_TO_40,21,171,14
5,2018,45+_TO_50,2,31,2
5,2018,4O+_TO_45,7,25,6
5,2019,25+_TO_30,5,34,5
5,2019,30+_TO_35,80,821,28
5,2019,35+_TO_40,68,694,27
5,2019,4O+_TO_45,6,20,4
5,2020,25+_TO_30,7,19,7
5,2020,30+_TO_35,53,221,28
5,2020,35+_TO_40,22,157,14
5,2020,4O+_TO_45,10,74,4
6,2015,25+_TO_30,1,1,1
6,2015,45+_TO_50,1,1,1
6,2015,4O+_TO_45,3,63,3
6,2016,25+_TO_30,9,30,8
6,2016,30+_TO_35,17,40,17
6,2016,35+_TO_40,14,49,10
6,2016,45+_TO_50,8,122,7
6,2016,4O+_TO_45,27,69,16
6,2017,25+_TO_30,5,22,5
6,2017,30+_TO_35,32,85,21
6,2017,35+_TO_40,49,293,25
6,2017,45+_TO_50,25,241,15
6,2017,4O+_TO_45,71,571,24
6,2018,25+_TO_30,8,253,7
6,2018,30+_TO_35,22,107,18
6,2018,35+_TO_40,41,162,21
6,2018,45+_TO_50,22,246,15
6,2018,4O+_TO_45,126,396,28
6,2019,25+_TO_30,7,359,7
6,2019,30+_TO_35,24,354,14
6,2019,35+_TO_40,36,95,22
6,2019,45+_TO_50,20,138,14
6,2019,4O+_TO_45,93,812,28
6,2020,20+_TO_25,1,5,1
6,2020,25+_TO_30,15,70,11
6,2020,30+_TO_35,36,797,20
6,2020,35+_TO_40,43,178,20
6,2020,45+_TO_50,8,39,6
6,2020,4O+_TO_45,58,211,18
7,2015,35+_TO_40,8,173,6
7,2015,45+_TO_50,3,57,3
7,2015,4O+_TO_45,15,132,10
7,2016,25+_TO_30,5,15,4
7,2016,30+_TO_35,22,146,14
7,2016,35+_TO_40,31,210,18
7,2016,45+_TO_50,29,114,23
7,2016,4O+_TO_45,63,237,27
7,2017,25+_TO_30,5,11,3
7,2017,30+_TO_35,10,143,9
7,2017,35+_TO_40,36,106,22
7,2017,45+_TO_50,59,455,25
7,2017,4O+_TO_45,187,1002,31
7,2017,5O+_OR_GREATER,1,1,1
7,2018,25+_TO_30,7,82,6
7,2018,30+_TO_35,6,87,6
7,2018,35+_TO_40,71,840,27
7,2018,45+_TO_50,34,285,23
7,2018,4O+_TO_45,251,1478,31
7,2019,25+_TO_30,32,93,17
7,2019,30+_TO_35,18,75,13
7,2019,35+_TO_40,74,395,29
7,2019,45+_TO_50,47,512,27
7,2019,4O+_TO_45,158,761,31
7,2020,25+_TO_30,35,124,16
7,2020,30+_TO_35,15,106,12
7,2020,35+_TO_40,41,676,22
7,2020,45+_TO_50,20,48,16
7,2020,4O+_TO_45,143,2434,30
7,2020,5O+_OR_GREATER,1,7,1
8,2009,4O+_TO_45,1,1,1
8,2015,25+_TO_30,7,43,7
8,2015,30+_TO_35,16,388,11
8,2015,35+_TO_40,106,735,28
8,2015,45+_TO_50,17,99,14
8,2015,4O+_TO_45,283,2394,31
8,2016,25+_TO_30,10,50,10
8,2016,30+_TO_35,38,256,18
8,2016,35+_TO_40,88,525,29
8,2016,45+_TO_50,55,788,29
8,2016,4O+_TO_45,287,1391,31
8,2017,25+_TO_30,12,107,9
8,2017,30+_TO_35,23,361,19
8,2017,35+_TO_40,130,656,30
8,2017,45+_TO_50,50,585,26
8,2017,4O+_TO_45,395,2076,31
8,2017,5O+_OR_GREATER,1,1,1
8,2018,25+_TO_30,6,124,6
8,2018,30+_TO_35,22,389,13
8,2018,35+_TO_40,296,2255,31
8,2018,45+_TO_50,83,3973,30
8,2018,4O+_TO_45,586,3315,31
8,2018,5O+_OR_GREATER,1,50,1
8,2019,25+_TO_30,1,3,1
8,2019,30+_TO_35,58,391,30
8,2019,35+_TO_40,142,1754,30
8,2019,45+_TO_50,61,297,30
8,2019,4O+_TO_45,410,2778,31
8,2020,20+_TO_25,1,7,1
8,2020,25+_TO_30,43,194,20
8,2020,30+_TO_35,32,398,21
8,2020,35+_TO_40,183,1395,31
8,2020,45+_TO_50,36,129,23
8,2020,4O+_TO_45,373,2839,31
8,2020,5O+_OR_GREATER,2,4,1
9,2010,4O+_TO_45,1,1,1
9,2015,25+_TO_30,21,152,15
9,2015,30+_TO_35,25,357,18
9,2015,35+_TO_40,194,2560,30
9,2015,45+_TO_50,20,558,14
9,2015,4O+_TO_45,327,2584,30
9,2016,25+_TO_30,10,21,9
9,2016,30+_TO_35,83,1168,29
9,2016,35+_TO_40,281,1841,30
9,2016,45+_TO_50,55,852,25
9,2016,4O+_TO_45,440,2176,30
9,2017,25+_TO_30,9,212,8
9,2017,30+_TO_35,37,304,21
9,2017,35+_TO_40,310,1937,30
9,2017,45+_TO_50,60,1919,25
9,2017,4O+_TO_45,443,2979,30
9,2018,20+_TO_25,1,24,1
9,2018,25+_TO_30,4,252,4
9,2018,30+_TO_35,58,730,28
9,2018,35+_TO_40,412,3378,30
9,2018,45+_TO_50,61,222,28
9,2018,4O+_TO_45,739,5894,30
9,2018,5O+_OR_GREATER,1,2,1
9,2019,25+_TO_30,4,27,3
9,2019,30+_TO_35,75,789,28
9,2019,35+_TO_40,208,1652,30
9,2019,45+_TO_50,42,563,21
9,2019,4O+_TO_45,421,3432,30
9,2019,5O+_OR_GREATER,1,1,1
9,2020,25+_TO_30,51,167,20
9,2020,30+_TO_35,76,1008,27
9,2020,35+_TO_40,362,2763,30
9,2020,45+_TO_50,15,54,10
9,2020,4O+_TO_45,325,2059,30
10,2005,35+_TO_40,1,1,1
10,2010,30+_TO_35,1,15,1
10,2015,25+_TO_30,16,91,13
10,2015,30+_TO_35,54,519,24
10,2015,35+_TO_40,69,619,30
10,2015,45+_TO_50,2,448,2
10,2015,4O+_TO_45,57,276,21
10,2016,25+_TO_30,14,132,10
10,2016,30+_TO_35,64,434,26
10,2016,35+_TO_40,133,685,28
10,2016,45+_TO_50,6,41,5
10,2016,4O+_TO_45,105,257,26
10,2017,25+_TO_30,9,117,9
10,2017,30+_TO_35,80,659,29
10,2017,35+_TO_40,120,745,29
10,2017,45+_TO_50,2,4,2
10,2017,4O+_TO_45,74,1812,24
10,2018,25+_TO_30,5,20,4
10,2018,30+_TO_35,59,550,29
10,2018,35+_TO_40,106,432,23
10,2018,45+_TO_50,8,236,5
10,2018,4O+_TO_45,120,996,22
10,2019,30+_TO_35,36,282,23
10,2019,35+_TO_40,65,536,22
10,2019,45+_TO_50,2,3,2
10,2019,4O+_TO_45,48,778,20
10,2020,25+_TO_30,19,56,15
10,2020,30+_TO_35,47,491,21
10,2020,35+_TO_40,151,1040,28
10,2020,45+_TO_50,3,12,2
10,2020,4O+_TO_45,76,708,25
11,2015,25+_TO_30,3,15,3
11,2015,30+_TO_35,10,179,6
11,2015,35+_TO_40,10,47,7
11,2015,4O+_TO_45,7,24,5
11,2016,25+_TO_30,10,26,9
11,2016,30+_TO_35,23,117,16
11,2016,35+_TO_40,20,51,15
11,2016,4O+_TO_45,7,9,6
11,2017,25+_TO_30,10,79,8
11,2017,30+_TO_35,27,347,18
11,2017,35+_TO_40,30,88,24
11,2017,4O+_TO_45,1,1,1
11,2018,25+_TO_30,7,37,7
11,2018,30+_TO_35,21,70,16
11,2018,35+_TO_40,11,24,9
11,2018,4O+_TO_45,5,213,3
11,2019,30+_TO_35,14,123,10
11,2019,35+_TO_40,6,570,6
11,2020,25+_TO_30,4,15,4
11,2020,30+_TO_35,13,46,11
11,2020,35+_TO_40,12,32,6
11,2020,4O+_TO_45,4,4,2
12,2015,25+_TO_30,2,5,2
12,2015,30+_TO_35,12,30,10
12,2016,25+_TO_30,9,20,6
12,2016,30+_TO_35,13,42,11
12,2016,35+_TO_40,2,3,1
12,2017,25+_TO_30,4,16,4
12,2017,30+_TO_35,10,20,9
12,2017,35+_TO_40,8,24,8
12,2018,25+_TO_30,1,3,1
12,2018,30+_TO_35,4,7,3
12,2019,25+_TO_30,2,42,2
12,2019,30+_TO_35,25,406,19
12,2019,35+_TO_40,1,23,1
12,2020,25+_TO_30,6,49,4
12,2020,30+_TO_35,14,624,10
12,2020,35+_TO_40,3,7,3
