month,year,lat_range,egg_first_sight_dates,egg_first_sight_number,egg_first_sight_distinct_dates
1,1998,25+_TO_30,1,1,1
1,2000,25+_TO_30,2,2,2
1,2001,25+_TO_30,1,1,1
1,2003,30+_TO_35,1,1,1
1,2005,25+_TO_30,1,1,1
1,2007,20_OR_LESS,1,1,1
1,2008,30+_TO_35,1,1,1
1,2011,25+_TO_30,1,1,1
1,2012,25+_TO_30,7,7,6
1,2012,30+_TO_35,3,3,3
1,2013,25+_TO_30,3,3,3
1,2013,30+_TO_35,1,1,1
1,2014,25+_TO_30,1,1,1
1,2014,30+_TO_35,1,1,1
1,2015,25+_TO_30,3,3,3
1,2015,30+_TO_35,1,1,1
1,2016,25+_TO_30,2,36,2
1,2018,30+_TO_35,1,5,1
1,2020,25+_TO_30,1,32,1
2,1998,25+_TO_30,5,5,5
2,1998,30+_TO_35,1,1,1
2,2001,25+_TO_30,4,4,4
2,2004,25+_TO_30,1,1,1
2,2005,25+_TO_30,1,1,1
2,2008,25+_TO_30,1,1,1
2,2008,30+_TO_35,1,1,1
2,2009,25+_TO_30,3,3,3
2,2009,30+_TO_35,1,1,1
2,2011,25+_TO_30,3,3,3
2,2011,30+_TO_35,4,4,3
2,2012,25+_TO_30,6,6,6
2,2012,30+_TO_35,1,1,1
2,2013,25+_TO_30,1,1,1
2,2013,30+_TO_35,1,1,1
2,2013,35+_TO_40,1,1,1
2,2014,25+_TO_30,3,3,3
2,2014,30+_TO_35,3,3,3
2,2015,25+_TO_30,1,1,1
2,2015,30+_TO_35,2,2,2
2,2016,25+_TO_30,6,7,6
2,2016,30+_TO_35,6,63,4
2,2017,25+_TO_30,1,1,1
2,2017,30+_TO_35,3,23,3
2,2018,20+_TO_25,1,33,1
2,2018,25+_TO_30,4,18,4
2,2018,30+_TO_35,1,2,1
2,2018,35+_TO_40,1,1,1
2,2019,25+_TO_30,2,22,1
2,2019,30+_TO_35,3,43,3
2,2020,25+_TO_30,1,10,1
2,2020,30+_TO_35,2,33,2
3,1998,25+_TO_30,3,3,3
3,1998,30+_TO_35,3,3,3
3,2000,25+_TO_30,6,6,6
3,2000,30+_TO_35,7,7,7
3,2001,25+_TO_30,6,6,5
3,2001,30+_TO_35,2,2,2
3,2001,4O+_TO_45,1,1,1
3,2002,25+_TO_30,14,14,12
3,2002,30+_TO_35,5,5,5
3,2003,25+_TO_30,11,11,7
3,2003,30+_TO_35,7,7,4
3,2004,25+_TO_30,5,5,4
3,2004,30+_TO_35,5,5,5
3,2005,25+_TO_30,4,4,4
3,2005,30+_TO_35,2,2,2
3,2006,25+_TO_30,9,9,7
3,2006,30+_TO_35,14,14,9
3,2007,25+_TO_30,14,14,11
3,2007,30+_TO_35,8,8,7
3,2007,35+_TO_40,1,1,1
3,2008,25+_TO_30,12,12,11
3,2008,30+_TO_35,8,8,7
3,2009,25+_TO_30,12,12,10
3,2009,30+_TO_35,12,12,11
3,2010,25+_TO_30,11,11,7
3,2010,30+_TO_35,3,3,3
3,2011,25+_TO_30,21,21,17
3,2011,30+_TO_35,21,21,14
3,2012,20+_TO_25,1,1,1
3,2012,25+_TO_30,27,27,15
3,2012,30+_TO_35,38,38,18
3,2012,35+_TO_40,5,5,4
3,2013,25+_TO_30,13,13,11
3,2013,30+_TO_35,15,15,9
3,2014,20+_TO_25,3,3,2
3,2014,25+_TO_30,16,16,11
3,2014,30+_TO_35,8,8,8
3,2015,20+_TO_25,3,3,3
3,2015,25+_TO_30,14,14,10
3,2015,30+_TO_35,6,6,4
3,2015,35+_TO_40,5,5,4
3,2016,25+_TO_30,26,159,18
