month,year,lat_range,larva_first_sight_dates,larva_first_sight_number,larva_first_sight_distinct_dates
1,2000,25+_TO_30,1,1,1
1,2001,25+_TO_30,1,1,1
1,2002,25+_TO_30,1,1,1
1,2004,25+_TO_30,1,1,1
1,2005,25+_TO_30,2,2,1
1,2006,25+_TO_30,3,3,3
1,2007,20_OR_LESS,1,1,1
1,2008,25+_TO_30,2,2,1
1,2009,25+_TO_30,4,4,3
1,2009,30+_TO_35,2,2,2
1,2010,25+_TO_30,1,1,1
1,2011,25+_TO_30,3,3,3
1,2011,30+_TO_35,1,1,1
1,2012,25+_TO_30,4,4,4
1,2012,30+_TO_35,4,4,4
1,2014,25+_TO_30,1,1,1
1,2014,30+_TO_35,6,6,5
1,2014,35+_TO_40,1,1,1
1,2015,25+_TO_30,3,3,2
1,2015,30+_TO_35,2,2,2
1,2016,25+_TO_30,5,42,5
1,2016,30+_TO_35,5,33,4
1,2018,25+_TO_30,1,6,1
1,2018,30+_TO_35,3,9,3
1,2019,30+_TO_35,1,21,1
1,2020,25+_TO_30,1,1,1
2,2000,25+_TO_30,1,1,1
2,2001,25+_TO_30,4,4,3
2,2001,35+_TO_40,1,1,1
2,2002,25+_TO_30,2,2,2
2,2003,25+_TO_30,1,1,1
2,2004,25+_TO_30,3,3,3
2,2005,25+_TO_30,3,3,3
2,2005,30+_TO_35,1,1,1
2,2006,25+_TO_30,5,5,4
2,2006,30+_TO_35,1,1,1
2,2007,25+_TO_30,2,2,2
2,2008,25+_TO_30,4,4,3
2,2009,25+_TO_30,4,4,4
2,2009,30+_TO_35,3,3,3
2,2010,25+_TO_30,3,3,3
2,2011,25+_TO_30,2,2,2
2,2011,30+_TO_35,3,3,3
2,2012,25+_TO_30,5,5,4
2,2012,30+_TO_35,5,5,3
2,2013,25+_TO_30,2,2,2
2,2013,30+_TO_35,1,1,1
2,2014,25+_TO_30,2,2,2
2,2014,30+_TO_35,4,4,3
2,2015,25+_TO_30,7,7,5
2,2015,30+_TO_35,6,6,4
2,2016,25+_TO_30,8,32,6
2,2016,30+_TO_35,4,9,4
2,2017,25+_TO_30,2,7,2
2,2017,30+_TO_35,6,39,6
2,2018,25+_TO_30,6,32,6
2,2018,30+_TO_35,6,37,6
2,2019,25+_TO_30,1,5,1
2,2019,30+_TO_35,1,2,1
2,2020,25+_TO_30,2,18,2
2,2020,30+_TO_35,3,4,3
3,2000,25+_TO_30,5,5,4
3,2000,30+_TO_35,3,3,3
3,2001,25+_TO_30,4,4,3
3,2001,30+_TO_35,1,1,1
3,2002,25+_TO_30,6,6,6
3,2002,30+_TO_35,1,1,1
3,2003,25+_TO_30,5,5,5
3,2003,30+_TO_35,1,1,1
3,2004,25+_TO_30,11,11,10
3,2004,30+_TO_35,1,1,1
3,2005,25+_TO_30,6,6,5
3,2005,30+_TO_35,1,1,1
3,2006,25+_TO_30,8,8,6
3,2006,30+_TO_35,5,5,5
3,2007,25+_TO_30,9,9,7
3,2007,30+_TO_35,4,4,3
3,2008,25+_TO_30,5,5,4
3,2008,30+_TO_35,4,4,4
3,2009,25+_TO_30,9,9,6
3,2009,30+_TO_35,6,6,6
3,2010,25+_TO_30,2,2,2
3,2010,30+_TO_35,1,1,1
3,2011,25+_TO_30,15,15,11
3,2011,30+_TO_35,12,12,11
3,2012,25+_TO_30,20,20,18
3,2012,30+_TO_35,25,25,16
3,2012,35+_TO_40,2,2,2
3,2013,25+_TO_30,12,12,9
3,2013,30+_TO_35,4,4,4
3,2014,20+_TO_25,5,5,3
3,2014,25+_TO_30,17,17,14
3,2014,30+_TO_35,9,9,9
3,2015,25+_TO_30,17,17,14
3,2015,30+_TO_35,11,11,9
