,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
2932,946933590,2000-01-02,Monarch Larva (FIRST sighted),1,27.705,-97.348,0,"At Corpus Christi's Hans and Pat Suter Refuge, found five monarch caterpillars, ranging from 2 to 5 cm long, on 1/02/00.  Also found one new milkweed butterfly chrysalis, but seemed small; may be queen.  Had seen one 3 cm monarch caterpillar on 12/26/00.  Adults of queen & monarchs had been visiting the Mexican milkweed all through December 1999, and one monarch was seen emerging from its chrysalis on 12/13/99.Weather has been maxing in mid-70s to low 80s past two weeks, with no precip.  Winds gusting to 30 knots from SE on 1/02, so not surprised to see no monarchs, but did see 1 queen.  Is this part of a Texas overwintering monarch population?   ",Tamu-cc,-999999.999,-999999.999,9711251,-999999.999,1,Monarch Larva (FIRST sighted),0
2961,951423660,1999-12-01,Monarch Larva (FIRST sighted),1,29.757,-95.365,0,"In Harris County, southwest Houston, I have had monarch butterflies off and on all winter. I have collected eggs all winter and raised the larvae. In the last 10 days I released 4 butterlies and currently have 4 in chrysalis in a rearing cage outside. I cannot keep enough milkweed as all have been eaten - a lot of cuttings have been started but are not mature enough to put in the ground. I planted milkweed in my neighbors yard and he has many eggs on his 2 plants.  ",-999999.999,-999999.999,-999999.999,9706354,-999999.999,1,Monarch Larva (FIRST sighted),0
2965,951595960,1999-12-15,Monarch Larva (FIRST sighted),1,29.757,-95.365,0,"We have had such a mild winter here, that the milkweeds havecontinued blooming all winter.  I have had a number of monarchbutterflies hatch from their chrysalis throughout December andJan 2000.  I did find a few that did not survive a cold snapin late December.  The chrysalis was translucent with dark interior, but obviously ""dead"" as it was somewhat shriveled and hard.I brought in several large larva (1 to 1.5"") to pupate indoors as I was concerned about the weather.  When I released the new butterflies to the backyard, they took several hours to fly off. ",-999999.999,-999999.999,-999999.999,9705512,-999999.999,1,Monarch Larva (FIRST sighted),0
2975,952046388,2000-02-01,Monarch Larva (FIRST sighted),1,26.218,-98.238,0,"Milam Elementary School (about 10 miles from the Mexico border), Mrs Merritt's 4th grade class was maintaining the butterfly garden when second and third stage larva were found on the milkweed plants.  Also, some eggs were found and two days later first stage larva were found.  We have not sighted the butterflies that laid these eggs but are looking for them!  ",Ben milam elementary,4.0,-999999.999,1900,-999999.999,1,Monarch Larva (FIRST sighted),0
2977,952110693,2000-03-03,Monarch Larva (FIRST sighted),1,28.807,-96.979,0,"We have had a few monarchs all winter in Victoria.  We began to find several eggs and larvae at school the second week of February.  After our cold snap in late January, the students began a few larvae.  One student looked for and found about 80 eggs during the second and third weeks of February on the A. curassavica at school.  We have not released any raised monarchs since late October ...  so all that we have seen have grown up in the area on backyard tropical milkweed ... unless there is some milkweed (tropical or native) that survived on the barrier islands or right along the bays ... and that question remains to be answered.",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,Monarch Larva (FIRST sighted),0
2980,952134137,2000-03-03,Monarch Larva (FIRST sighted),1,26.218,-98.238,0,"We have 6 small tropical milkweek plants in our butterfly garden that was planted last fall at school.  Every day for the past week, students have been finding larva and eggs.  As of today 12 larva have been found.  The students stopped counting at 20 eggs.  We have yet to see an adult Monarch.  Our school is on the border of Texas and Mexico - we are wondering if a few Monarchs are starting northward!",Ben milam elementary,4.0,-999999.999,1900,-999999.999,1,Monarch Larva (FIRST sighted),0
3007,953135641,2000-03-11,Monarch Larva (FIRST sighted),1,29.757,-95.365,0,"Approximately 15 monarch larvae from 1 to 2 inches in lengthwere found on one 15 inch high milkweed plant in my backyard on March 11,2000. I redistributed them to other plants, and they are happily munching away.  From across the yard I noticed that theplant had lost all its leaves and flowers, while all the othermilkweeds in the garden were in full flower. On close inspection, I saw that the entire plant was covered with Monarchlarvae!",-999999.999,-999999.999,-999999.999,9705512,-999999.999,1,Monarch Larva (FIRST sighted),0
3014,953274227,2000-03-16,Monarch Larva (FIRST sighted),1,29.75,-95.35,0,"Two Monarchs visited 3 days ago, and fought over rights to lay eggs on my very tired milkweed plants that wintered over.  I counted 10 eggs being layed at that time.  To my surprise, today, I checked on the eggs, and discovered 2 larvae eating away.  I haven't learned how to guess ""enstars"" yet, but past experience tells me these guys hatched about 3-4 days ago since they are relatively small.  I will have to hurry to purchase more milkweed, and to make sure the wasps don't get the young caterpillars.",Scarborough elem.,2.0,-999999.999,9713099,-999999.999,1,Monarch Larva (FIRST sighted),0
3038,953656306,2000-03-20,Monarch Larva (FIRST sighted),1,28.81,-96.98,0,"We found the first 5th instar monarch larvae on the wild Asclepias viridis 5.5 miles east-southeast of Victoria this afternoon.  We had been finding 1st thru 4th over the weekend near Port Lavaca ...  evidence of larval activity, but we seldom find any larvae.  We have also been noticing large fire ant nests in the area!  The largest of the seed pods on the A.v. plants in this patch measured 92 mm in length today.  We have been observing these plants since February 15.",Victoria christian school,7.0,-999999.999,9704928,-999999.999,1,Monarch Larva (FIRST sighted),0
3062,954113930,2000-03-16,Monarch Larva (FIRST sighted),1,33.58,-91.792,0,I was in Mexico touring the monarch reserves week before last with a group lead by Bill Calvert. At a resort near the Agua Blanca springs I found 2nd instar larvae and eggs on _Asclepias curassavica_.,University of arkansas at monticello,-999999.999,-999999.999,9702734,-999999.999,1,Monarch Larva (FIRST sighted),0
