month,year,lat_range,larva_sight_dates,larva_sight_number,larva_sight_distinct_dates
1,2016,25+_TO_30,19,202,17
1,2016,30+_TO_35,15,109,9
1,2017,20+_TO_25,1,5,1
1,2017,25+_TO_30,20,140,13
1,2017,30+_TO_35,22,109,17
1,2017,35+_TO_40,1,5,1
1,2018,20+_TO_25,2,2,2
1,2018,25+_TO_30,6,18,5
1,2018,30+_TO_35,2,5,2
1,2018,35+_TO_40,3,20,3
1,2019,25+_TO_30,14,164,12
1,2019,30+_TO_35,10,40,8
1,2019,35+_TO_40,1,8,1
1,2020,25+_TO_30,12,129,12
1,2020,30+_TO_35,16,70,10
1,2020,35+_TO_40,2,7,2
2,2016,20_OR_LESS,1,10,1
2,2016,25+_TO_30,13,79,11
2,2016,30+_TO_35,10,33,9
2,2017,20+_TO_25,1,2,1
2,2017,20_OR_LESS,1,4,1
2,2017,25+_TO_30,8,78,8
2,2017,30+_TO_35,9,23,8
2,2018,20+_TO_25,1,1,1
2,2018,25+_TO_30,4,13,4
2,2018,30+_TO_35,5,28,5
2,2018,35+_TO_40,2,3,2
2,2019,25+_TO_30,31,249,18
2,2019,30+_TO_35,16,107,12
2,2020,20_OR_LESS,1,28,1
2,2020,25+_TO_30,16,109,12
2,2020,30+_TO_35,8,70,7
3,2016,20+_TO_25,1,4,1
3,2016,20_OR_LESS,1,12,1
3,2016,25+_TO_30,19,117,15
3,2016,30+_TO_35,16,197,13
3,2017,20+_TO_25,3,24,3
3,2017,25+_TO_30,31,165,20
3,2017,30+_TO_35,20,161,15
3,2017,35+_TO_40,1,1,1
3,2018,20+_TO_25,4,11,4
3,2018,25+_TO_30,27,294,16
3,2018,30+_TO_35,8,114,7
3,2019,20+_TO_25,1,20,1
3,2019,25+_TO_30,43,417,26
3,2019,30+_TO_35,17,172,11
3,2020,25+_TO_30,28,302,15
3,2020,30+_TO_35,42,463,21
3,2020,35+_TO_40,2,13,2
4,2016,20+_TO_25,11,35,7
4,2016,25+_TO_30,33,381,21
4,2016,30+_TO_35,42,265,18
4,2016,35+_TO_40,8,58,7
4,2017,25+_TO_30,37,1068,26
4,2017,30+_TO_35,44,371,25
4,2017,35+_TO_40,34,501,18
4,2017,4O+_TO_45,2,65,2
4,2018,20+_TO_25,3,45,2
4,2018,25+_TO_30,26,255,21
4,2018,30+_TO_35,81,666,23
4,2018,35+_TO_40,13,69,9
4,2019,25+_TO_30,35,537,18
4,2019,30+_TO_35,54,956,24
4,2019,35+_TO_40,9,129,7
4,2020,20+_TO_25,1,5,1
4,2020,25+_TO_30,15,144,14
4,2020,30+_TO_35,61,698,26
4,2020,35+_TO_40,7,56,7
5,2014,25+_TO_30,1,1,1
5,2014,30+_TO_35,1,1,1
5,2014,45+_TO_50,1,8,1
5,2014,4O+_TO_45,2,2,2
5,2015,30+_TO_35,1,1,1
5,2015,35+_TO_40,1,1,1
5,2015,4O+_TO_45,2,4,2
5,2016,25+_TO_30,7,48,7
5,2016,30+_TO_35,23,177,17
5,2016,35+_TO_40,11,38,8
5,2017,25+_TO_30,13,70,6
5,2017,30+_TO_35,19,101,12
5,2017,35+_TO_40,62,510,23
5,2017,4O+_TO_45,18,143,15
5,2018,25+_TO_30,13,41,10
5,2018,30+_TO_35,41,227,22
5,2018,35+_TO_40,32,220,18
5,2018,45+_TO_50,5,12,3
5,2018,4O+_TO_45,23,321,14
5,2019,25+_TO_30,12,95,9
5,2019,30+_TO_35,45,449,22
5,2019,35+_TO_40,44,480,24
5,2019,4O+_TO_45,8,63,7
5,2020,25+_TO_30,10,46,9
5,2020,30+_TO_35,26,90,18
5,2020,35+_TO_40,23,121,16
5,2020,4O+_TO_45,5,41,4
6,2009,4O+_TO_45,1,2,1
6,2014,30+_TO_35,1,1,1
6,2014,35+_TO_40,6,15,3
6,2014,45+_TO_50,3,5,2
6,2014,4O+_TO_45,8,16,5
6,2015,35+_TO_40,1,1,1
6,2015,4O+_TO_45,4,44,4
6,2016,25+_TO_30,8,90,4
6,2016,30+_TO_35,9,43,7
6,2016,35+_TO_40,13,40,11
6,2016,45+_TO_50,19,54,15
6,2016,4O+_TO_45,23,73,15
6,2017,25+_TO_30,9,35,8
6,2017,30+_TO_35,3,17,3
6,2017,35+_TO_40,32,88,18
6,2017,45+_TO_50,25,99,20
6,2017,4O+_TO_45,71,211,25
6,2018,25+_TO_30,4,19,4
6,2018,30+_TO_35,6,80,6
6,2018,35+_TO_40,32,78,20
6,2018,45+_TO_50,34,106,21
6,2018,4O+_TO_45,110,480,30
6,2018,5O+_OR_GREATER,1,10,1
6,2019,25+_TO_30,8,57,7
6,2019,30+_TO_35,11,43,7
6,2019,35+_TO_40,30,109,20
6,2019,45+_TO_50,17,425,11
6,2019,4O+_TO_45,104,679,27
6,2020,25+_TO_30,8,94,8
6,2020,30+_TO_35,17,106,9
6,2020,35+_TO_40,46,171,26
6,2020,45+_TO_50,10,52,10
6,2020,4O+_TO_45,41,159,26
7,2012,30+_TO_35,1,4,1
7,2012,4O+_TO_45,3,11,2
7,2013,30+_TO_35,1,3,1
7,2013,35+_TO_40,2,4,2
7,2013,4O+_TO_45,3,4,3
7,2014,25+_TO_30,3,17,3
7,2014,30+_TO_35,12,33,7
7,2014,35+_TO_40,47,89,25
7,2014,45+_TO_50,21,30,15
7,2014,4O+_TO_45,109,187,29
7,2014,5O+_OR_GREATER,1,1,1
7,2015,25+_TO_30,3,8,2
7,2015,30+_TO_35,10,62,7
7,2015,35+_TO_40,32,98,20
7,2015,45+_TO_50,7,38,6
7,2015,4O+_TO_45,81,319,28
7,2016,25+_TO_30,5,35,5
7,2016,30+_TO_35,10,36,6
7,2016,35+_TO_40,53,211,25
7,2016,45+_TO_50,27,137,20
7,2016,4O+_TO_45,116,308,29
7,2017,25+_TO_30,11,50,10
7,2017,30+_TO_35,3,5,3
7,2017,35+_TO_40,58,209,22
7,2017,45+_TO_50,52,160,26
7,2017,4O+_TO_45,170,740,31
7,2017,5O+_OR_GREATER,4,4,3
7,2018,25+_TO_30,4,22,4
7,2018,30+_TO_35,6,34,6
7,2018,35+_TO_40,115,589,28
7,2018,45+_TO_50,83,283,30
7,2018,4O+_TO_45,197,1118,31
7,2018,5O+_OR_GREATER,2,27,2
7,2019,25+_TO_30,19,95,15
7,2019,30+_TO_35,15,54,13
7,2019,35+_TO_40,74,317,27
7,2019,45+_TO_50,45,371,24
7,2019,4O+_TO_45,147,1698,30
7,2019,5O+_OR_GREATER,6,65,6
7,2020,25+_TO_30,4,38,3
7,2020,30+_TO_35,19,155,15
7,2020,35+_TO_40,105,375,28
7,2020,45+_TO_50,31,158,21
7,2020,4O+_TO_45,138,599,31
7,2020,5O+_OR_GREATER,3,5,3
8,2005,35+_TO_40,1,5,1
8,2012,25+_TO_30,15,18,12
8,2012,30+_TO_35,7,12,7
8,2012,35+_TO_40,48,118,22
8,2012,45+_TO_50,9,12,5
8,2012,4O+_TO_45,46,194,22
8,2013,20+_TO_25,1,1,1
8,2013,25+_TO_30,6,6,5
8,2013,30+_TO_35,18,29,12
8,2013,35+_TO_40,58,102,21
8,2013,45+_TO_50,3,11,3
8,2013,4O+_TO_45,97,178,28
8,2014,25+_TO_30,12,36,12
8,2014,30+_TO_35,41,166,22
8,2014,35+_TO_40,142,457,29
8,2014,45+_TO_50,21,46,14
8,2014,4O+_TO_45,191,488,31
8,2014,5O+_OR_GREATER,1,1,1
8,2015,20+_TO_25,1,4,1
8,2015,25+_TO_30,5,31,4
8,2015,30+_TO_35,31,253,16
8,2015,35+_TO_40,258,1949,31
8,2015,45+_TO_50,33,183,21
8,2015,4O+_TO_45,335,2014,31
8,2015,5O+_OR_GREATER,2,3,2
8,2016,25+_TO_30,14,105,10
8,2016,30+_TO_35,53,428,23
8,2016,35+_TO_40,309,1588,31
8,2016,45+_TO_50,55,154,27
8,2016,4O+_TO_45,292,1169,31
8,2017,20+_TO_25,3,34,3
8,2017,25+_TO_30,12,112,10
8,2017,30+_TO_35,46,443,23
8,2017,35+_TO_40,384,2307,31
8,2017,45+_TO_50,54,218,24
8,2017,4O+_TO_45,511,3669,31
8,2018,25+_TO_30,19,116,12
8,2018,30+_TO_35,58,571,25
8,2018,35+_TO_40,496,5343,31
8,2018,45+_TO_50,97,317,29
8,2018,4O+_TO_45,429,3235,31
8,2018,5O+_OR_GREATER,2,70,2
8,2019,25+_TO_30,9,91,7
8,2019,30+_TO_35,65,698,22
8,2019,35+_TO_40,352,2802,31
8,2019,45+_TO_50,84,493,31
8,2019,4O+_TO_45,437,5771,31
8,2019,5O+_OR_GREATER,2,8,2
8,2020,20+_TO_25,1,2,1
8,2020,20_OR_LESS,1,15,1
8,2020,25+_TO_30,9,50,8
8,2020,30+_TO_35,68,550,23
8,2020,35+_TO_40,409,2683,31
8,2020,45+_TO_50,44,139,22
8,2020,4O+_TO_45,298,1293,31
8,2020,5O+_OR_GREATER,4,13,3
9,2011,25+_TO_30,1,1,1
9,2012,25+_TO_30,25,113,17
9,2012,30+_TO_35,48,233,23
9,2012,35+_TO_40,82,245,27
9,2012,45+_TO_50,3,4,3
9,2012,4O+_TO_45,52,141,24
9,2013,25+_TO_30,10,45,10
9,2013,30+_TO_35,66,182,25
9,2013,35+_TO_40,98,233,28
9,2013,4O+_TO_45,47,155,21
9,2014,25+_TO_30,17,99,16
9,2014,30+_TO_35,57,222,26
9,2014,35+_TO_40,133,393,30
9,2014,45+_TO_50,9,11,5
9,2014,4O+_TO_45,72,157,26
9,2015,25+_TO_30,33,189,19
9,2015,30+_TO_35,105,1026,28
9,2015,35+_TO_40,209,1572,30
9,2015,45+_TO_50,8,63,7
9,2015,4O+_TO_45,155,975,29
9,2016,20+_TO_25,1,4,1
9,2016,25+_TO_30,32,298,17
9,2016,30+_TO_35,161,2579,30
9,2016,35+_TO_40,402,3213,30
9,2016,45+_TO_50,16,28,12
9,2016,4O+_TO_45,250,1221,29
9,2017,20+_TO_25,5,34,3
9,2017,25+_TO_30,11,43,9
9,2017,30+_TO_35,75,634,27
9,2017,35+_TO_40,322,2343,30
9,2017,45+_TO_50,21,71,11
9,2017,4O+_TO_45,254,1433,28
9,2018,20+_TO_25,2,18,1
9,2018,20_OR_LESS,1,1,1
9,2018,25+_TO_30,17,103,14
9,2018,30+_TO_35,138,1488,29
9,2018,35+_TO_40,368,3015,30
9,2018,45+_TO_50,32,73,17
9,2018,4O+_TO_45,303,1498,29
9,2019,20+_TO_25,1,3,1
9,2019,25+_TO_30,10,48,7
9,2019,30+_TO_35,91,732,29
9,2019,35+_TO_40,251,1544,30
9,2019,45+_TO_50,22,138,18
9,2019,4O+_TO_45,278,1265,28
9,2019,5O+_OR_GREATER,1,5,1
9,2020,25+_TO_30,28,211,20
9,2020,30+_TO_35,140,1366,29
9,2020,35+_TO_40,514,5219,30
9,2020,45+_TO_50,19,48,15
9,2020,4O+_TO_45,175,568,30
10,2012,25+_TO_30,16,89,15
10,2012,30+_TO_35,29,62,22
10,2012,35+_TO_40,10,16,8
10,2012,4O+_TO_45,1,1,1
10,2013,25+_TO_30,30,326,16
10,2013,30+_TO_35,49,108,26
10,2013,35+_TO_40,14,23,10
10,2014,25+_TO_30,19,39,15
10,2014,30+_TO_35,44,175,23
10,2014,35+_TO_40,32,66,15
10,2014,45+_TO_50,1,1,1
10,2014,4O+_TO_45,11,11,9
10,2015,25+_TO_30,48,473,25
10,2015,30+_TO_35,59,392,27
10,2015,35+_TO_40,41,195,24
10,2015,45+_TO_50,1,1,1
10,2015,4O+_TO_45,7,20,6
10,2016,20+_TO_25,2,2,1
10,2016,25+_TO_30,34,290,18
10,2016,30+_TO_35,110,491,29
10,2016,35+_TO_40,82,290,24
10,2016,4O+_TO_45,11,45,9
10,2017,20+_TO_25,3,22,3
10,2017,25+_TO_30,27,274,18
10,2017,30+_TO_35,63,307,24
10,2017,35+_TO_40,71,296,28
10,2017,45+_TO_50,1,1,1
10,2017,4O+_TO_45,11,23,11
10,2018,25+_TO_30,43,428,21
10,2018,30+_TO_35,93,646,27
10,2018,35+_TO_40,75,287,23
10,2018,45+_TO_50,1,1,1
10,2018,4O+_TO_45,23,142,12
10,2019,20+_TO_25,1,9,1
10,2019,25+_TO_30,22,87,17
10,2019,30+_TO_35,41,178,21
10,2019,35+_TO_40,43,171,24
10,2019,45+_TO_50,1,4,1
