month,year,lat_range,milkweed_sight_dates,milkweed_sight_number,milkweed_sight_distinct_dates
1,2016,25+_TO_30,8,8,7
1,2016,30+_TO_35,10,10,7
1,2016,35+_TO_40,1,1,1
1,2017,30+_TO_35,2,2,2
1,2018,25+_TO_30,1,1,1
1,2019,30+_TO_35,4,4,3
2,2016,25+_TO_30,23,42,16
2,2016,30+_TO_35,21,21,15
2,2017,20+_TO_25,1,1,1
2,2017,25+_TO_30,4,4,4
2,2017,30+_TO_35,7,7,6
2,2018,20+_TO_25,1,1,1
2,2018,25+_TO_30,5,5,4
2,2018,30+_TO_35,4,4,3
2,2019,25+_TO_30,8,8,8
2,2019,30+_TO_35,10,10,8
2,2020,30+_TO_35,2,2,2
3,2005,25+_TO_30,1,1,1
3,2016,25+_TO_30,23,23,11
3,2016,30+_TO_35,39,39,19
3,2016,35+_TO_40,3,3,3
3,2017,25+_TO_30,19,19,10
3,2017,30+_TO_35,26,26,14
3,2017,35+_TO_40,3,3,3
3,2018,20+_TO_25,1,1,1
3,2018,25+_TO_30,6,6,6
3,2018,30+_TO_35,21,21,15
3,2018,35+_TO_40,4,4,2
3,2019,25+_TO_30,9,9,5
3,2019,30+_TO_35,14,14,9
3,2019,35+_TO_40,1,1,1
3,2020,25+_TO_30,10,10,9
3,2020,30+_TO_35,39,39,16
3,2020,35+_TO_40,4,4,4
4,2016,25+_TO_30,5,5,4
4,2016,30+_TO_35,25,25,16
4,2016,35+_TO_40,14,14,12
4,2016,4O+_TO_45,12,12,9
4,2017,25+_TO_30,7,7,7
4,2017,30+_TO_35,20,20,12
4,2017,35+_TO_40,40,40,23
4,2017,4O+_TO_45,16,16,12
4,2018,25+_TO_30,8,8,7
4,2018,30+_TO_35,39,39,20
4,2018,35+_TO_40,22,22,15
4,2018,4O+_TO_45,2,2,2
4,2019,25+_TO_30,4,4,4
4,2019,30+_TO_35,20,29,14
4,2019,35+_TO_40,40,40,19
4,2019,45+_TO_50,2,2,2
4,2019,4O+_TO_45,4,4,4
4,2020,25+_TO_30,5,5,5
4,2020,30+_TO_35,20,20,15
4,2020,35+_TO_40,44,44,20
4,2020,4O+_TO_45,9,9,6
5,2002,4O+_TO_45,1,1,1
5,2016,20_OR_LESS,1,1,1
5,2016,25+_TO_30,2,2,2
5,2016,30+_TO_35,13,22,9
5,2016,35+_TO_40,27,27,18
5,2016,45+_TO_50,7,7,6
5,2016,4O+_TO_45,53,53,25
5,2017,25+_TO_30,4,4,4
5,2017,30+_TO_35,6,6,5
5,2017,35+_TO_40,38,38,22
5,2017,45+_TO_50,6,6,6
5,2017,4O+_TO_45,43,43,25
5,2018,30+_TO_35,16,16,10
5,2018,35+_TO_40,38,38,19
5,2018,45+_TO_50,5,5,5
5,2018,4O+_TO_45,54,54,26
5,2019,25+_TO_30,2,2,2
5,2019,30+_TO_35,4,4,4
5,2019,35+_TO_40,42,42,21
5,2019,45+_TO_50,6,6,6
5,2019,4O+_TO_45,54,54,24
5,2020,25+_TO_30,4,4,4
5,2020,30+_TO_35,12,12,7
5,2020,35+_TO_40,27,27,18
5,2020,45+_TO_50,11,11,7
5,2020,4O+_TO_45,66,66,22
6,2015,4O+_TO_45,1,1,1
6,2016,25+_TO_30,2,2,2
6,2016,30+_TO_35,10,10,7
6,2016,35+_TO_40,11,11,8
6,2016,45+_TO_50,4,4,4
6,2016,4O+_TO_45,32,32,17
6,2017,25+_TO_30,4,4,4
6,2017,30+_TO_35,1,1,1
6,2017,35+_TO_40,12,12,10
6,2017,45+_TO_50,2,2,2
6,2017,4O+_TO_45,28,28,17
6,2017,5O+_OR_GREATER,1,1,1
6,2018,30+_TO_35,2,2,2
6,2018,35+_TO_40,9,9,6
6,2018,45+_TO_50,4,4,4
6,2018,4O+_TO_45,29,29,17
6,2019,30+_TO_35,1,1,1
6,2019,35+_TO_40,22,22,13
6,2019,45+_TO_50,7,7,7
6,2019,4O+_TO_45,30,30,18
6,2020,25+_TO_30,2,2,2
6,2020,30+_TO_35,4,23,3
6,2020,35+_TO_40,29,29,17
6,2020,45+_TO_50,11,11,8
6,2020,4O+_TO_45,67,67,27
7,2016,30+_TO_35,17,17,8
7,2016,35+_TO_40,2,2,2
7,2016,45+_TO_50,1,1,1
7,2016,4O+_TO_45,7,7,6
7,2017,20+_TO_25,1,1,1
7,2017,30+_TO_35,3,3,3
7,2017,35+_TO_40,7,7,5
7,2017,45+_TO_50,3,3,3
7,2017,4O+_TO_45,20,20,15
7,2018,35+_TO_40,2,2,2
7,2018,45+_TO_50,2,2,2
7,2018,4O+_TO_45,15,15,10
7,2019,35+_TO_40,4,4,3
7,2019,45+_TO_50,4,4,4
7,2019,4O+_TO_45,23,23,17
7,2020,25+_TO_30,1,1,1
7,2020,35+_TO_40,8,8,7
7,2020,45+_TO_50,2,2,1
7,2020,4O+_TO_45,36,36,20
8,2016,20+_TO_25,1,1,1
9,2017,25+_TO_30,1,1,1
12,2016,30+_TO_35,1,1,1
