,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
91379,1452975620,2016-01-16,Milkweed Sighted,1,29.914,-90.053,1,Found a baby Milkweed plant. in my backyard ,-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2016/01/1452975620.jpg,9989749,-999999.999,1,Milkweed Sighted,0
91404,1453317491,2016-01-20,Milkweed Sighted,1,33.974,-118.249,1,"Milkweed Plants The milkweed plants are about 9 inches.  Most of the leaves are green, but some are brown.  Some  are laying down maybe because they are wet from rain. ",-999999.999,-999999.999,https://journeynorth.org/jnorth/images/userfiles2016/01/1453317491.jpg,9989994,-999999.999,1,Milkweed Sighted,0
91435,1454529632,2016-02-02,Milkweed Sighted,1,30.34,-81.831,1,new growth on old stems,-999999.999,-999999.999,-999999.999,9981454,-999999.999,1,Milkweed Sighted,0
91439,1454531417,2016-02-03,Milkweed Sighted,1,30.177,-85.806,1,"Milkweed growing all winter long,  caterpillars and crystalis present,  panama city beach florida",-999999.999,-999999.999,-999999.999,9974622,-999999.999,1,Milkweed Sighted,0
91450,1454544827,2016-02-03,Milkweed Sighted,1,30.23,-97.714,1,"Reporting that my milkweed never froze! Still have tons of mature, gorgeous milkweed in Tarrytown, Austin, Tx",-999999.999,-999999.999,-999999.999,9962757,-999999.999,1,Milkweed Sighted,0
91453,1454550666,2016-02-03,Milkweed Sighted,1,29.757,-95.365,1,I have caterpillars almost every sunny spell. They disappearWhen it's too cold but they come out whenever it warmsBack up. ,-999999.999,-999999.999,-999999.999,9981670,-999999.999,1,Milkweed Sighted,0
91457,1454594063,2016-02-04,Milkweed Sighted,1,29.796,-91.502,1,Milkweed still viable.  So far a mild winter.,-999999.999,-999999.999,-999999.999,9967382,-999999.999,1,Milkweed Sighted,0
91459,1454595319,2016-02-02,Milkweed Sighted,1,28.24,-82.74,1,I have some Scarlet Milkweed growing and this old female just keeps laying eggs<p>Also in Monarch Egg,-999999.999,-999999.999,-999999.999,9978169,-999999.999,1,Milkweed Sighted,0
91461,1454608221,2016-02-04,Milkweed Sighted,1,30.083,-95.948,1,I have several milkweed plants in my flowerbeds and throughout our property they have leaves and just got nipped by frost last week but some of them have blooms on them today.  We have seen a couple of monarchs as well.,-999999.999,-999999.999,-999999.999,9988796,-999999.999,1,Milkweed Sighted,0
91467,1454769083,2016-02-05,Milkweed Sighted,1,29.757,-95.365,1,"Females trying to lay eggs, my milkweed has the tiniest of leaves emerging.<p>Also in Egg",-999999.999,-999999.999,-999999.999,9990231,-999999.999,1,Milkweed Sighted,0
91468,1454769193,2016-02-05,Milkweed Sighted,1,30.096,-81.877,1,I have had a few monarch butterflies flying around my yard. I still have milkweed plants in my yard. They have been laying eggs as well. I think these little guys are slightly confused as our weather has been up an down. ðŸ˜Š,-999999.999,-999999.999,-999999.999,9987755,-999999.999,1,Milkweed Sighted,0
91478,1454857228,2016-02-05,Milkweed Sighted,1,29.517,-97.934,1,5 caterpillars on A. curassavica. have experienced warm days and nights around freezing. Going into warmer period.,-999999.999,-999999.999,-999999.999,9988121,-999999.999,1,Milkweed Sighted,0
91481,1454864085,2016-01-01,Milkweed Sighted,1,30.429,-84.258,1,I have a large milkweed patch and am collecting seeds.  These larva are getting big and fat.  4 pupa found so far.  Happy new year Monarchs.,-999999.999,-999999.999,-999999.999,9989683,-999999.999,1,Milkweed Sighted,0
91482,1454864137,2016-01-01,Milkweed Sighted,1,37.058,-76.464,1,Various sized larva on the remaining milkweed. Concerned as the weather has turned much colder and rainy. I hope these little guys have a chance at surviving.,-999999.999,-999999.999,-999999.999,9966916,-999999.999,1,Milkweed Sighted,0
