month,year,lat_range,peak_migration_dates,peak_migration_number,peak_migration_distinct_dates
3,2019,30+_TO_35,4,100400,1
4,2009,4O+_TO_45,1,1,1
6,2010,35+_TO_40,1,6,1
7,2006,5O+_OR_GREATER,1,1,1
7,2010,35+_TO_40,1,5,1
8,2000,45+_TO_50,8,8,6
8,2000,4O+_TO_45,4,4,3
8,2001,45+_TO_50,9,9,7
8,2001,4O+_TO_45,13,13,10
8,2001,5O+_OR_GREATER,1,1,1
8,2002,45+_TO_50,2,2,2
8,2002,4O+_TO_45,2,2,2
8,2003,45+_TO_50,2,2,2
8,2003,4O+_TO_45,4,4,3
8,2004,20_OR_LESS,1,1,1
8,2005,45+_TO_50,7,7,6
8,2005,4O+_TO_45,16,16,10
8,2006,35+_TO_40,1,1,1
8,2006,4O+_TO_45,25,25,10
8,2007,35+_TO_40,1,1,1
8,2007,45+_TO_50,6,6,4
8,2007,4O+_TO_45,32,32,14
8,2009,45+_TO_50,3,3,2
8,2009,4O+_TO_45,9,9,7
8,2010,35+_TO_40,1,1,1
8,2010,45+_TO_50,6,6,5
8,2010,4O+_TO_45,16,16,7
8,2011,45+_TO_50,3,110,3
8,2011,4O+_TO_45,5,126,4
8,2012,45+_TO_50,4,4170,3
8,2012,4O+_TO_45,7,842,6
8,2013,4O+_TO_45,3,140,2
8,2014,45+_TO_50,4,190,3
8,2014,4O+_TO_45,9,350,7
8,2015,45+_TO_50,3,252,3
8,2015,4O+_TO_45,8,1514,5
8,2016,4O+_TO_45,4,177,4
8,2017,45+_TO_50,3,520,3
8,2017,4O+_TO_45,13,1714,7
8,2018,45+_TO_50,9,1536,7
8,2018,4O+_TO_45,37,6671,9
8,2019,35+_TO_40,3,430,3
8,2019,45+_TO_50,4,595,3
8,2019,4O+_TO_45,14,1486,7
8,2020,45+_TO_50,8,1469,7
8,2020,4O+_TO_45,12,6974,4
9,2000,25+_TO_30,3,3,2
9,2000,30+_TO_35,20,20,9
9,2000,35+_TO_40,17,17,10
9,2000,45+_TO_50,1,1,1
9,2000,4O+_TO_45,32,32,16
9,2001,25+_TO_30,3,3,3
9,2001,30+_TO_35,23,23,8
9,2001,35+_TO_40,59,315,20
9,2001,45+_TO_50,1,1,1
9,2001,4O+_TO_45,64,64,25
9,2002,35+_TO_40,5,5,3
9,2002,45+_TO_50,1,1,1
9,2002,4O+_TO_45,15,15,10
