,id,sighting_date,species,number,latitude,longitude,flag_location,comments,school,grade,image_url,customerid,number_old,flag_number,species_old,flag_species
3541,966119477,2000-08-08,Monarch PEAK Migration,1,47.066,-94.504,0,"The first signs of the migration in Minnesota were reported on August 8th by Naturalist Jim Gilbert who received news of monarch butterflies aggregating in the Walker area.  Also, another observer reported having about 40 monarchs fly through her yard in a short period of time that day, all heading south.   ",-999999.999,0.0,-999999.999,9710973,0.0,2,Monarch PEAK Migration,0
3544,966258999,2000-08-15,Monarch PEAK Migration,1,44.957,-93.54,0,"I observed the first big pulse of fall migration today. I saw monarchs flying at rate of one per minute during a 20 minute count, while I was rowing across a lake in a strong NW wind. Later in the evening, I found tens of monarchs aggregating in maple trees at sunset, along busy county road where I've never seen them before. August 12th was the first sign of fall migration. Of the 4 monarchs I saw that day, all were clearly headed in a southerly direction, under powered flight. Their clear ""directional flight"" qualified these as the first migrants of the season. Their behavior was identical to that of ""migrating monarchs"" which normally I don't think of seeing until the second half of August.",-999999.999,-999999.999,-999999.999,9937188,-999999.999,1,Monarch PEAK Migration,0
3547,966374597,2000-08-15,Monarch PEAK Migration,1,45.009,-93.34,0,"Lots of Monarch activity today!  We counted 58 Monarchs traveling through our yard between 3:00 and 4:00 this afternoon, many times in groups of 2 or 3 every 30 seconds or so.  Some came down to the lawn sprinkler for a drink, too!  All seem to be headed southeast. These seemed to be in very fresh condition, a brilliant orange.  Lower humidity today and a great breeze to float along on NW winds at 16 mph 80 degrees.",Breck school,4.0,-999999.999,9704118,0.0,2,Monarch PEAK Migration,0
3551,966612408,2000-08-17,Monarch PEAK Migration,1,45.05,-93.21,0,"The day was an exciting one. We had about 75 butterflies spend the night last night.  Our neighbors had 300-400.  They rested in clusters on box elder trees.  We have other trees in the yards, but this was the tree of choice.  The branches were both leafed and bare.  The branches used were lower, 10-15 feet high, and they were on eastern and southern branches.  There was a cold front which moved through the area on 8/16/00 which dropped the daytime highs from @85 to the lower 70",-999999.999,0.0,-999999.999,2266,0.0,2,Monarch PEAK Migration,0
3572,966879879,2000-08-20,Monarch PEAK Migration,1,46.926,-96.85,0,"It was totally awesome. It was about 4:30pm on August 20, 2000 and my family and I were looking at  our garden. We happened to notice all of the butterflies hovering around 2 of our trees in the backyard. We then decided to take some pictures of them. We are hoping they will turn out. We have never seen anything like this before. Late yesterday afternoon (08/20/00) I checked on the monarchs and sure enough they were still around. However, there were probably only about 15 to 20 of them.     ",-999999.999,-999999.999,-999999.999,9900260,-999999.999,1,Monarch PEAK Migration,0
3576,966989181,2000-08-16,Monarch PEAK Migration,1,45.352,-94.313,0,"I have hundreds of monarch butterflies in my backyard. They started appearing on the 16th of August            It's a heavenly sight! They hang from the trees like leaves and fly whenever I walk by them and darken the sky. It is a wonderful sight!! After 2 weeks time (Aug. 30) they are still here, but have grown smaller in numbers. It was great having them here, I think they liked all my flowers!""",-999999.999,0.0,-999999.999,9900278,0.0,2,Monarch PEAK Migration,0
3602,967825314,2000-08-28,Monarch PEAK Migration,1,43.546,-96.727,0,"We are getting hundreds, yes, hundreds of phone calls from people, telling us about monarchs in their yards. I would say Monday the 28th was the correct date of the first big influx. On the 28th The Outdoor Campus received sighting of hundreds in the Dell Rapids area, and in Rock Valley, IA, Rowena, SD and Sioux Falls, SD of monarchs by the hundreds in trees. On the 29th from South Dakota towns including Sioux Falls, Lyons, Colton, Renner, Beresford, Dell Rapids, Canton, Aberdeen, Brandon, and Lake Vermillion and also from Luverne, MN. On the 30th from South Dakota towns of Tea, Colton, Alcester, Sioux Falls, Beresford, Lennox, Parker, Brandon, Rowena, Humboldt, and Hartfod. Also from Inwood Iowa and Hills, Minnesota       ",The outdoor campus,0.0,-999999.999,9714129,0.0,2,Monarch PEAK Migration,0
3614,967995240,2000-09-03,Monarch PEAK Migration,1,44.05,-96.58,0,Hundreds of Monarchs have arrived.,Rutland school,8.0,-999999.999,9700359,0.0,2,Monarch PEAK Migration,0
3625,968073862,2000-09-03,Monarch PEAK Migration,1,42.804,-92.268,0,"Monarchs roosting in trees in the hundreds.  As members of Monarch Watch, my family and I tagged 68 in just over an hour.  ",Fredericksburg hs,9.0,-999999.999,9705132,0.0,2,Monarch PEAK Migration,0
3626,968083063,2000-08-16,Monarch PEAK Migration,1,46.001,-94.341,0,"August 6th seemed to be the first day an increase in monarchs was noted.  During the ensuing 10-12 days, large numbers of plump, fast-flying, vivid monarchs were observed.  It was not unusual to see 300 monarchs/hr and while driving a 30 mile stretch of highway. There was not a time when there was not a monarch in sight.  The peak seemed to be from the 16th-22nd of Aug, by the 27th, the lack of monarchs was quite noticeable. The monarch migration seems to be long gone from this part of the country.  It is now the 4th of Sept and only an occasional monarch has been spotted.  Temps in the 70's for highs and 50's for lows.  Enjoy the spectacle south of here, it was magnificent. ",-999999.999,0.0,-999999.999,1908,0.0,2,Monarch PEAK Migration,0
3629,968157838,2000-09-05,Monarch PEAK Migration,1,43.06,-94.236,0,"Students have reported seeing groups of 20-50 butterflies gathered in low hanging bushes and trees. Our temperatures have been very warm,but have cooled over the weekend. We expect to see more butterfly activity this week.",Lucia wallace elementary,5.0,-999999.999,9711978,0.0,2,Monarch PEAK Migration,0
3633,968163222,2000-09-01,Monarch PEAK Migration,1,43.038,-87.916,0,"A friend has a large number of Monarchs congregating in her city yard now, about 6 blocks from Lake Michigan.  She usually sees 4 or 5, now is seeing at least 40 on her Joe Pye weed.  Meanwhile, I still have about 12 in chrysalis, and six caterpillars eating.",-999999.999,0.0,-999999.999,9705752,0.0,2,Monarch PEAK Migration,0
3634,968163995,2000-08-28,Monarch PEAK Migration,1,44.282,-96.706,0,"On 8/28/00, observed monarchs seemingly everywhere, perhaps 40 or 50, as we rode through a mixed tree belt (predominately ponderosa pine, easter red cedar, cottonwoods) that separates our house yard and horse lots from farm land (field of BT corn). Most observations made while riding horseback in early evening, between 6 and 7 p.m. DST. Riding path runs through middle of trees. Will repeat the horseback riding route tonight (9/5/00), to include both the tree belt and liatris patch, and report tomorrow morning. On 8/22/00 saw 4 or 5 monarchs in patch of rough gayfeather (liatris), of which they are particularly fond.",-999999.999,0.0,-999999.999,9714647,0.0,2,Monarch PEAK Migration,0
3636,968169683,2000-08-17,Monarch PEAK Migration,1,46.546,-96.576,0,"For years monarchs have been coming to stay in my yard for several weeks in August. I first noticed them this year around the17th and they are still here (September 1). I have a large yard, with a southern tree line. I just started researching them this year to find out why they come to my yard, and how they know where it, how long they stay, things like that. The town I live in has 340 people, out in rural Minnesota. We are right on the North Dakota border, 20 miles south of Moorhead.",-999999.999,0.0,-999999.999,9900248,0.0,2,Monarch PEAK Migration,0
