month,year,species,sighting_dates,number,sites,Season_End,Hectares_Occupied_Start,Hectares_Occupied_End
1,1997,Monarch Adult Sighted,1,1,1,1998,18.19,5.77
1,1998,Monarch Adult (FIRST sighted),3,3,3,1999,5.77,5.56
1,1998,Monarch Egg (FIRST sighted),1,1,1,1999,5.77,5.56
1,1999,Monarch (OTHER Observations),3,3,1,2000,5.56,9.05
1,1999,Monarch Adult (FIRST sighted),5,5,5,2000,5.56,9.05
1,2000,Monarch (OTHER Observations),4,4,2,2001,9.05,2.83
1,2000,Monarch Adult (FIRST sighted),6,6,5,2001,9.05,2.83
1,2000,Monarch Egg (FIRST sighted),2,2,2,2001,9.05,2.83
1,2000,Monarch Larva (FIRST sighted),1,1,1,2001,9.05,2.83
1,2001,Monarch (OTHER Observations),3,3,2,2002,2.83,9.36
1,2001,Monarch Adult (FIRST sighted),6,6,6,2002,2.83,9.36
1,2001,Monarch Egg (FIRST sighted),1,1,1,2002,2.83,9.36
1,2001,Monarch Larva (FIRST sighted),1,1,1,2002,2.83,9.36
1,2002,Milkweed (FIRST sighted),2,2,2,2003,9.36,7.54
1,2002,Monarch (OTHER Observations),1,1,1,2003,9.36,7.54
1,2002,Monarch Adult Sighted,10,10,10,2003,9.36,7.54
1,2002,Monarch Larva (FIRST sighted),1,1,1,2003,9.36,7.54
1,2003,Monarch (OTHER Observations),2,2,2,2004,7.54,11.12
1,2003,Monarch Adult (FIRST sighted),2,2,2,2004,7.54,11.12
1,2003,Monarch Adult Sighted,9,9,9,2004,7.54,11.12
1,2003,Monarch Egg (FIRST sighted),1,1,1,2004,7.54,11.12
1,2004,Milkweed (FIRST sighted),1,1,1,2005,11.12,2.19
1,2004,Monarch (OTHER Observations),4,4,3,2005,11.12,2.19
1,2004,Monarch Adult (FIRST sighted),4,4,4,2005,11.12,2.19
1,2004,Monarch Adult Sighted,11,11,11,2005,11.12,2.19
1,2004,Monarch Fall Roost,1,1,1,2005,11.12,2.19
1,2004,Monarch Larva (FIRST sighted),1,1,1,2005,11.12,2.19
1,2005,Monarch (OTHER Observations),3,3,2,2006,2.19,5.91
1,2005,Monarch Adult (FIRST sighted),3,3,3,2006,2.19,5.91
1,2005,Monarch Adult Sighted,31,31,28,2006,2.19,5.91
1,2005,Monarch Egg (FIRST sighted),1,1,1,2006,2.19,5.91
1,2005,Monarch Larva (FIRST sighted),2,2,2,2006,2.19,5.91
1,2006,Milkweed (FIRST sighted),1,1,1,2007,5.91,6.87
1,2006,Monarch (OTHER Observations),2,2,2,2007,5.91,6.87
1,2006,Monarch Adult (FIRST sighted),1,1,1,2007,5.91,6.87
1,2006,Monarch Adult Sighted,36,36,33,2007,5.91,6.87
1,2006,Monarch Larva (FIRST sighted),3,3,3,2007,5.91,6.87
1,2007,Milkweed (FIRST sighted),2,2,2,2008,6.87,4.61
1,2007,Monarch (OTHER Observations),4,4,4,2008,6.87,4.61
1,2007,Monarch Adult (FIRST sighted),2,2,2,2008,6.87,4.61
1,2007,Monarch Adult Sighted,11,11,11,2008,6.87,4.61
1,2007,Monarch Egg (FIRST sighted),1,1,1,2008,6.87,4.61
1,2007,Monarch Larva (FIRST sighted),1,1,1,2008,6.87,4.61
1,2008,Milkweed (FIRST sighted),2,2,2,2009,4.61,3.06
1,2008,Monarch (OTHER Observations),2,2,2,2009,4.61,3.06
1,2008,Monarch Adult (FIRST sighted),2,2,2,2009,4.61,3.06
1,2008,Monarch Adult Sighted,14,14,12,2009,4.61,3.06
1,2008,Monarch Egg (FIRST sighted),1,1,1,2009,4.61,3.06
1,2008,Monarch Larva (FIRST sighted),2,2,2,2009,4.61,3.06
1,2009,Monarch (OTHER Observations),2,2,2,2010,3.06,1.92
1,2009,Monarch Adult (FIRST sighted),1,1,1,2010,3.06,1.92
1,2009,Monarch Adult Sighted,41,41,38,2010,3.06,1.92
1,2009,Monarch Larva (FIRST sighted),6,6,6,2010,3.06,1.92
1,2010,Milkweed (FIRST sighted),1,1,1,2011,1.92,4.02
1,2010,Monarch (OTHER Observations),5,5,5,2011,1.92,4.02
1,2010,Monarch Adult Sighted,23,24,21,2011,1.92,4.02
1,2010,Monarch Larva (FIRST sighted),1,1,1,2011,1.92,4.02
1,2011,Milkweed (FIRST sighted),1,1,1,2012,4.02,2.89
1,2011,Monarch (OTHER Observations),4,4,4,2012,4.02,2.89
1,2011,Monarch Adult Sighted,60,60,33,2012,4.02,2.89
1,2011,Monarch Egg (FIRST sighted),1,1,1,2012,4.02,2.89
1,2011,Monarch Larva (FIRST sighted),4,4,3,2012,4.02,2.89
1,2012,Milkweed (FIRST sighted),7,7,6,2013,2.89,1.19
1,2012,Monarch (OTHER Observations),10,17,9,2013,2.89,1.19
