month,year,species,lat_range,sighting_dates,number,sighting_distinct_dates,sites,Season_End,Hectares_Occupied_Start,Hectares_Occupied_End,Drought_Events,Flood_Events,Freeze_Events,Severe_Storm_Events ,Tropical_Cyclone_Events,Wildfire_Events,Winter_Storm_Events,Tons_Used
1,1997,Monarch Adult Sighted,30+_TO_35,1,1,1,1,1998,18.19,5.77,0,2,0,1,0,0,0,434541
1,1998,Monarch Adult (FIRST sighted),25+_TO_30,3,3,3,3,1999,5.77,5.56,1,1,1,3,3,0,1,424562
1,1998,Monarch Egg (FIRST sighted),25+_TO_30,1,1,1,1,1999,5.77,5.56,1,1,1,3,3,0,1,424562
1,1999,Monarch (OTHER Observations),25+_TO_30,3,3,3,1,2000,5.56,9.05,1,0,0,1,1,0,2,433634
1,1999,Monarch Adult (FIRST sighted),25+_TO_30,2,2,2,2,2000,5.56,9.05,1,0,0,1,1,0,2,433634
1,1999,Monarch Adult (FIRST sighted),30+_TO_35,1,1,1,1,2000,5.56,9.05,1,0,0,1,1,0,2,433634
1,1999,Monarch Adult (FIRST sighted),35+_TO_40,2,2,2,2,2000,5.56,9.05,1,0,0,1,1,0,2,433634
1,2000,Monarch (OTHER Observations),25+_TO_30,4,4,4,2,2001,9.05,2.83,1,1,0,1,0,1,1,430005
1,2000,Monarch Adult (FIRST sighted),25+_TO_30,6,6,5,5,2001,9.05,2.83,1,1,0,1,0,1,1,430005
1,2000,Monarch Egg (FIRST sighted),25+_TO_30,2,2,2,2,2001,9.05,2.83,1,1,0,1,0,1,1,430005
1,2000,Monarch Larva (FIRST sighted),25+_TO_30,1,1,1,1,2001,9.05,2.83,1,1,0,1,0,1,1,430005
1,2001,Monarch (OTHER Observations),25+_TO_30,3,3,2,2,2002,2.83,9.36,0,0,0,1,1,0,0,411408
1,2001,Monarch Adult (FIRST sighted),25+_TO_30,6,6,4,6,2002,2.83,9.36,0,0,0,1,1,0,0,411408
1,2001,Monarch Egg (FIRST sighted),25+_TO_30,1,1,1,1,2002,2.83,9.36,0,0,0,1,1,0,0,411408
