Season_Start,Season_End,Hectares_Occupied_Start,Hectares_Occupied_End
1994,1995,6.23,7.81
1995,1996,7.81,12.61
1996,1997,12.61,18.19
1997,1998,18.19,5.77
1998,1999,5.77,5.56
1999,2000,5.56,9.05
2000,2001,9.05,2.83
2001,2002,2.83,9.36
2002,2003,9.36,7.54
2003,2004,7.54,11.12
2004,2005,11.12,2.19
2005,2006,2.19,5.91
2006,2007,5.91,6.87
2007,2008,6.87,4.61
2008,2009,4.61,3.06
2009,2010,3.06,1.92
2010,2011,1.92,4.02
2011,2012,4.02,2.89
2012,2013,2.89,1.19
2013,2014,1.19,0.67
2014,2015,0.67,1.13
2015,2016,1.13,4.01
2016,2017,4.01,2.91
2017,2018,2.91,2.48
2018,2019,2.48,6.05
2019,2020,6.05,2.83
2020,2021,2.83,2.1
