Tag Code,Report Season,Location,latitude,longitude
775IZ,2020,El Rosario,30.0595,-115.7257
AAAB310,2020,El Rosario,30.0595,-115.7257
AAAE401,2020,El Rosario,30.0595,-115.7257
AAAE620,2020,El Rosario,30.0595,-115.7257
AAAM653,2020,El Rosario,30.0595,-115.7257
AAAN163,2020,El Rosario,30.0595,-115.7257
AAAR048,2020,El Rosario,30.0595,-115.7257
AAAW641,2020,El Rosario,30.0595,-115.7257
AABA649,2020,El Rosario,30.0595,-115.7257
AABB388,2020,El Rosario,30.0595,-115.7257
AABB895,2020,El Rosario,30.0595,-115.7257
AABC305,2020,El Rosario,30.0595,-115.7257
AACM749,2020,El Rosario,30.0595,-115.7257
AACM779,2020,El Rosario,30.0595,-115.7257
AACS031,2020,El Rosario,30.0595,-115.7257
AACS078,2020,El Rosario,30.0595,-115.7257
AACW123,2020,El Rosario,30.0595,-115.7257
AAEC730,2020,El Rosario,30.0595,-115.7257
AAEC974,2020,El Rosario,30.0595,-115.7257
AAEG420,2020,El Rosario,30.0595,-115.7257
AAEJ264,2020,El Rosario,30.0595,-115.7257
AAEJ591,2020,El Rosario,30.0595,-115.7257
AAEN732,2020,El Rosario,30.0595,-115.7257
AAES793,2020,El Rosario,30.0595,-115.7257
AAET621,2020,El Rosario,30.0595,-115.7257
AAEX093,2020,El Rosario,30.0595,-115.7257
AAGC443,2020,El Rosario,30.0595,-115.7257
AAHC186,2020,El Rosario,30.0595,-115.7257
AAHG764,2020,El Rosario,30.0595,-115.7257
AAHX021,2020,El Rosario,30.0595,-115.7257
AAJE556,2020,El Rosario,30.0595,-115.7257
AAJW332,2020,El Rosario,30.0595,-115.7257
AALC701,2020,El Rosario,30.0595,-115.7257
AALC720,2020,El Rosario,30.0595,-115.7257
AALE265,2020,El Rosario,30.0595,-115.7257
AALL557,2020,El Rosario,30.0595,-115.7257
AALP369,2020,El Rosario,30.0595,-115.7257
AALR194,2020,El Rosario,30.0595,-115.7257
AALR640,2020,El Rosario,30.0595,-115.7257
AALS122,2020,El Rosario,30.0595,-115.7257
AALS199,2020,El Rosario,30.0595,-115.7257
AAMA124,2020,El Rosario,30.0595,-115.7257
AAMA448,2020,El Rosario,30.0595,-115.7257
AAMC699,2020,El Rosario,30.0595,-115.7257
AAME892,2020,El Rosario,30.0595,-115.7257
AAMH665,2020,El Rosario,30.0595,-115.7257
AAMH973,2020,El Rosario,30.0595,-115.7257
AAML530,2020,El Rosario,30.0595,-115.7257
AAML733,2020,El Rosario,30.0595,-115.7257
AAMM783,2020,El Rosario,30.0595,-115.7257
AAMM859,2020,El Rosario,30.0595,-115.7257
AAMM976,2020,El Rosario,30.0595,-115.7257
AAMR520,2020,El Rosario,30.0595,-115.7257
AAMS018,2020,El Rosario,30.0595,-115.7257
AAMZ679,2020,El Rosario,30.0595,-115.7257
AANJ384,2020,El Rosario,30.0595,-115.7257
AANJ822,2020,El Rosario,30.0595,-115.7257
AANL064,2020,El Rosario,30.0595,-115.7257
AANL123,2020,El Rosario,30.0595,-115.7257
AANL560,2020,El Rosario,30.0595,-115.7257
AANN755,2020,El Rosario,30.0595,-115.7257
AANP410,2020,El Rosario,30.0595,-115.7257
AANR503,2020,El Rosario,30.0595,-115.7257
AANT088,2020,El Rosario,30.0595,-115.7257
AANT627,2020,El Rosario,30.0595,-115.7257
AANU242,2020,El Rosario,30.0595,-115.7257
AAPB064,2020,El Rosario,30.0595,-115.7257
AAPB963,2020,El Rosario,30.0595,-115.7257
AAPC020,2020,El Rosario,30.0595,-115.7257
AAPC273,2020,El Rosario,30.0595,-115.7257
